;; -*- coding: utf-8 -*--
a-bi-guo-min-yin-hang 阿比国民银行
dian-hui-hui-lv 电汇汇率
dian-jia-gai-ge 电价改革
dian-jia-shang-zhang 电价上涨
dian-li-ban-kuai 电力板块
dian-li-gu 电力股
dian-nao-cai-piao 电脑彩票
dian-shu 点数
dian-shu-tu 点数图
dian-tou-jiao-yi 垫头交易
dian-wei 点位
dian-zi-chu-xu-guo-zhai 电子储蓄国债
dian-zi-hui-yuan 电子会员
dian-zi-huo-bi 电子货币
dian-zi-shang-wu 电子商务
dian-zi-shang-wu-ping-tai 电子商务平台
dian-zi-shu-ju-shou-ji-fen-xi-jian-suo-xi-tong 电子数据收集分析检索系统
dian-zi-yin-hang 电子银行
dian-zi-yin-hang-ye-wu 电子银行业务
dian-zi-zhang-dan 电子账单
dian-zi-zhuan-zhang 电子转账
diao-cha-jie-guo 调查结果
diao-cha-jie-shu 调查结束
diao-cha-ye-wu 调查业务
diao-qi 掉期
diao-qi-jiao-yi 掉期交易
diao-yan 调研
die-chuang-xin-gao 迭创新高
die-fu 跌幅
die-fu-chao-guo 跌幅超过
die-fu-gao-da 跌幅高达
die-fu-jiao-da 跌幅较大
die-fu-ju-qian 跌幅居前
die-fu-wei 跌幅为
die-jia-xian-jing 跌价陷阱
die-po 跌破
die-po-di-xian 跌破底线
die-po-guan-kou 跌破关口
die-po-jun-xian 跌破均线
die-po-mian-zhi 跌破面值
die-ru-di-gu 跌入低谷
die-shi 跌势
die-shi-cha 跌势差
die-shi-quan-zheng 蝶式权证
die-ting-ban 跌停板
die-xing 碟型
die-xing-qi-quan 碟形期权
die-zhi 跌至
die-zhi-gu-di 跌至谷底
die-zhi-zui-di-shui-ping 跌至最低水平
die-zhuang-li-cha 蝶状利差
ding-bu 顶部
ding-bu-tao-lao 顶部套牢
ding-bu-xin-hao 顶部信号
ding-dan 订单
ding-dian 定点
ding-e-jiao-kuan-ji-hua 定额交款计划
ding-e-shou-yi-ji-hua 定额受益计划
ding-feng 顶峰
ding-jia 定价
ding-jia-cheng-ben 定价成本
ding-jia-di 定价低
ding-jia-fa-xing 定价发行
ding-jia-fang-shi 定价方式
ding-jia-mo-xing 定价模型
ding-jia-pian-di 定价偏低
ding-jia-shui-ping 定价水平
ding-jian-cai-jing-wang 顶尖财经网
ding-jin 定金
ding-li-zhi-chi 鼎力支持
ding-qi-bao-liu-ying-yu 定期保留盈余
ding-qi-chu-xu 定期储蓄
ding-qi-cong 定期从
ding-qi-cun-kuan 定期存款
ding-qi-dai-kuan 定期贷款
ding-qi-fa-xing 定期发行
ding-qi-gu-piao 定期股票
ding-qi-hui-piao 定期汇票
ding-qi-jiao-yi-xie-yi 定期交易协议
ding-qi-xiang 定期向
ding-qi-zhang-hu 定期账户
ding-shui 定税
ding-shui-gong-gao 定税公告
ding-shui-qing-ce 定税清册
ding-tou 定投
ding-tou-e-du 定投额度
ding-tou-ye-wu 定投业务
ding-xiang-fa-shou 定向发售
ding-xiang-yang-piao 定向央票
ding-xiang-zeng-fa 定向增发
ding-xiang-zi-chan-guan-li 定向资产管理
ding-xing-fen-xi 定性分析
dong-bei-cai-jing-da-xue 东北财经大学
dong-bei-yin-hang 东北银行
dong-bei-zheng-quan 东北证券
dong-bu-zhang-hu 东部账户
dong-chan 动产
dong-chan-yin-hang 动产银行
dong-fang-gao-sheng 东方高圣
dong-fang-hong-li-cai-zi-xun-ping-tai 东方红理财资讯平台
dong-fang-hui-li-yin-hang 东方汇理银行
dong-fang-hui-li-yu-su-yi-shi-yin-hang 东方汇理与苏伊士银行
dong-fang-ji-jin 东方基金
dong-fang-ji-jin-guan-li-you-xian-ze-ren-gong-si 东方基金管理有限责任公司
dong-fang-ji-tuan 东方集团
dong-fang-jin-yu 东方金钰
dong-fang-yin-hang 东方银行
dong-fang-zheng-quan 东方证券
dong-fang-zhi-hui 东方智慧
dong-fang-zi-chan-guan-li-gong-si 东方资产管理公司
dong-guan-zheng-quan 东莞证券
dong-hai-yin-hang 东海银行
dong-hai-zheng-quan 东海证券
dong-hai-zheng-quan-you-xian-ze-ren-gong-si 东海证券有限责任公司
dong-hua-qi-huo 东华期货
dong-jie 冻结
dong-jie-zheng-quan 冻结证券
dong-jie-zi-chan 冻结资产
dong-jing-gu-shi 东京股市
dong-jing-jin-rong-shi-chang 东京金融市场
dong-jing-san-ling-yin-hang 东京三菱银行
dong-jing-yin-hang 东京银行
dong-jing-zheng-quan-jiao-yi-suo 东京证券交易所
dong-meng-shang-wu-zhou-kan 东盟商务周刊
dong-mi 董秘
dong-nan-ya-jin-rong-wei-ji 东南亚金融危机
dong-shi-hui 董事会
dong-shi-hui-mi-shu 董事会秘书
dong-shi-hui-tong-guo 董事会通过
dong-shi-hui-zhu-xi 董事会主席
dong-shi-zhang 董事长
dong-tai-fen-xi 动态分析
dong-tai-gua-gou 动态挂钩
dong-tai-ping-gu 动态评估
dong-tai-shi-ying-lv 动态市盈率
dong-tai-yan-jiu 动态研究
dong-wu-ji-jin 东吴基金
dong-wu-ji-jin-guan-li-you-xian-gong-si 东吴基金管理有限公司
dong-wu-zheng-quan 东吴证券
dong-ya-yin-hang 东亚银行
dong-yin 动因
dong-yin-qi-huo 东银期货
dou-jing-li-guo 都经历过
dou-shi-kong-cang 都是空仓
dou-shi-man-cang 都是满仓
dou-you-ke-neng 都有可能
du-bang-cai-tuan 杜邦财团
du-bi 毒笔
du-cai 赌彩
du-cha-zu 督查组
du-li-cai-chan 独立财产
du-li-dong-shi 独立董事
du-li-jing-ji-ren 独立经纪人
du-li-shen-ji 独立审计
du-liang 度量
du-ling-sheng-bao-luo-yin-hang 都灵圣保罗银行
du-ma 赌马
du-qiu 赌球
du-shi-gu-fen 都市股份
du-wan-ji-hua 毒丸计划
du-yue-han 杜约翰
du-zi 独资
du-zi-cheng-dan 独自承担
duan-cang 短仓
duan-dian 断点
duan-dian-xiao-shou 断点销售
duan-duo 短多
duan-qi 短期
duan-qi-bo-dong 短期波动
duan-qi-cun-kuan 短期存款
duan-qi-dai-kuan 短期贷款
duan-qi-di-fang-shi-zheng-zhai-quan 短期地方市政债券
duan-qi-fan-tan 短期反弹
duan-qi-guo-zhai 短期国债
duan-qi-huo-dong 短期活动
duan-qi-huo-mian 短期豁免
duan-qi-jiao-yi-zhi-shu 短期交易指数
duan-qi-jin-rong-shi-chang 短期金融市场
duan-qi-li-lv 短期利率
duan-qi-pai-mai-lv 短期拍卖率
duan-qi-ri-ben-huo-bi-shi-chang 短期日本货币市场
duan-qi-rong-zi 短期融资
duan-qi-rong-zi-quan 短期融资券
duan-qi-shang-gong 短期上攻
duan-qi-shi-chang 短期市场
duan-qi-tiao-zheng 短期调整
duan-qi-tou-zi 短期投资
duan-qi-tou-zi-ji-jin 短期投资基金
duan-qi-zhai-wu 短期债务
duan-qi-zhai-wu-feng-xian 短期债务风险
duan-qi-zhen-dang 短期震荡
duan-qi-zheng-quan 短期证券
duan-qi-zheng-quan-shi-chang 短期证券市场
duan-qi-zi-ben 短期资本
duan-qi-zi-ben-sun-shi 短期资本损失
duan-qi-zou-shi 短期走势
duan-que-wen-ti 短缺问题
duan-rong-quan 短融券
duan-wei-ba-ji-zi 短尾巴集资
duan-xian 短线
duan-xian-fan-tan 短线反弹
duan-xian-guan-zhu 短线关注
duan-xian-hei-ma 短线黑马
duan-xian-ji-hui 短线机会
duan-xian-jiao-yi 短线交易
duan-xian-tou-zi 短线投资
duan-xian-tou-zi-gong-ju 短线投资工具
duan-xian-tu-po 短线突破
duan-xian-ya-li 短线压力
duan-xian-zhang-fu 短线涨幅
duan-xian-zhen-dang 短线震荡
duan-xian-zi-jin 短线资金
duan-xian-zou-shi 短线走势
duan-xin-tong-zhi 短信通知
dui-bao-biao 对报表
dui-cai-wu 对财务
dui-chong 对冲
dui-chong-feng-xian 对冲风险
dui-chong-ji-jin 对冲基金
dui-chong-ji-jin-zhi-yin 对冲基金指引
dui-chong-liu-dong-xing 对冲流动性
dui-chong-ya-li 对冲压力
dui-chong-zhe 对冲者
dui-chong-zhi 对冲值
dui-chu-kou-shang 对出口商
dui-da-pan 对大盘
dui-du 对赌
dui-fu-qi 兑付期
dui-gai-hang 对该行
dui-ge-ren 对个人
dui-gong-cun-kuan 对公存款
dui-gong-si 对公司
dui-gong-ye-wu 对公业务
dui-gu-yuan 对雇员
dui-guo-jia 对国家
dui-huan-wai-hui 兑换外汇
dui-ji-gou 对机构
dui-ji-xiao-ying 堆积效应
dui-jia 对价
dui-jia-fang-an 对价方案
dui-jia-fang-shi 对价方式
dui-jia-zhi-fu 对价支付
dui-jiao-xian-tao-li 对角线套利
dui-jin-kou-shang 对进口商
dui-jin-rong-gong-zuo 对金融工作
dui-kang-tong-zhang 对抗通胀
dui-kou-dan-wei 对口单位
dui-mei-ti 对媒体
dui-qi-ye 对企业
dui-qiao 对敲
dui-shi-chang 对市场
dui-shou-jing-ji-ren 对手经纪人
dui-wai-jing-ji 对外经济
dui-wai-jing-ji-mao-yi-da-xue 对外经济贸易大学
dui-wai-mao-yi 对外贸易
dui-wai-zi 对外资
dui-wo-xing 对我行
dui-yin-hang 对银行
dui-ying-cun-zhe 对应存折
dui-ying-guan-xi 对应关系
dui-yong-hu-shi-xing 对用户实行
dui-yu-tou-zi 对于投资
dui-yu-yin-hang 对于银行
dui-zhang-dan 对账单
dui-zhao-biao 对照表
dui-zhong-xiao-qi-ye 对中小企业
duo-bian-hui-lv 多边汇率
duo-bian-jiao-yi 多边交易
duo-fan-kong 多翻空
duo-fang-yin-su 多方因素
duo-jia-ji-gou 多家机构
duo-jia-yin-hang 多家银行
duo-kong-fen-qi 多空分歧
duo-kong-li-liang 多空力量
duo-lun-duo-gu-piao-jiao-yi-suo 多伦多股票交易所
duo-lun-duo-zi-zhi-ling-yin-hang 多伦多自治领银行
duo-nian-yi-lai 多年以来
duo-sha-duo 多杀多
duo-shao-gu-fen 多少股份
duo-shu-gu-piao 多数股票
duo-shu-gu-quan 多数股权
duo-tou 多头
duo-tou-cun 多头寸
duo-tou-dui-chong 多头对冲
duo-tou-hang-qing 多头行情
duo-tou-ji-tuan 多头集团
duo-tou-jia-ji-qi-quan-chu-shou 多头夹击期权出售
duo-tou-kan-die 多头看跌
duo-tou-li-cha 多头利差
duo-tou-tou-cun 多头头寸
duo-tou-xian-jing 多头陷阱
duo-tou-zhu-li 多头主力
duo-yang-hua 多样化
duo-yang-hua-kong-gu-gong-si 多样化控股公司
duo-yang-hua-pu-tong-gu-ji-jin 多样化普通股基金
duo-yuan-hua-tou-zi 多元化投资
duo-yuan-hua-zhan-lue 多元化战略
duo-zhuan 多赚
e-du 额度
e-du-bu-gou 额度不够
e-du-shen-pi-zhi 额度审批制
e-du-xian-zhi 额度限制
e-hua-cheng-du 恶化程度
e-wai-fei-yong 额外费用
e-wai-gong-kuan 额外供款
e-xing-tong-huo-peng-zhang 恶性通货膨胀
er-ci-tan-di 二次探底
er-deng-gong-si 二等公司
er-ji-du 二季度
er-ji-du-mo 二季度末
er-ji-fen-hang 二级分行
er-ji-shi-chang 二级市场
er-qie-duan-qi-nei 而且短期内
er-shou-fang-dai 二手房贷
er-shou-xiao-xi 二手消息
er-xian-lan-chou-gu 二线蓝筹股
er-zhi-hang 二支行
fa-bi 法币
fa-biao-bao-gao 发表报告
fa-bu-shi-shi 发布实施
fa-ding-bian-zhi 法定贬值
fa-ding-cheng-ren-nian-ling 法定成人年龄
fa-ding-dai-biao-ren 法定代表人
fa-ding-gong-ji-jin 法定公积金
fa-ding-gu-ben 法定股本
fa-ding-jian-bing 法定兼并
fa-ding-sheng-zhi 法定升值
fa-ding-zhi-qi-ri 法定致期日
fa-dong-fan-gong 发动反攻
fa-fang-dai-kuan 发放贷款
fa-fang-gong-zuo 发放工作
fa-gai-wei 发改委
fa-guo-ba-li-yin-hang 法国巴黎银行
fa-guo-jin-rong-bao-xian-gong-si 法国金融保险公司
fa-guo-nong-ye-xin-dai-yin-hang 法国农业信贷银行
fa-guo-wai-mao-yin-hang 法国外贸银行
fa-guo-xing-ye-yin-hang 法国兴业银行
fa-huo 发货
fa-ka-hang 发卡行
fa-ka-yin-hang 发卡银行
fa-kuan-lv 罚款率
fa-lan-ke-fu-jin-rong-shi-chang 法兰克福金融市场
fa-lan-xi-yin-hang 法兰西银行
fa-lang-qu 法郎区
fa-lv-bu 法律部
fa-lv-shi-ti 法律实体
fa-piao-bao-zheng-jin 发票保证金
fa-piao-chu-ku 发票出库
fa-piao-dai-kai 发票代开
fa-piao-dai-ma 发票代码
fa-piao-dan-bao-ren 发票担保人
fa-piao-dao-qi-ri 发票到期日
fa-piao-fa-shou-bu 发票发售部
fa-piao-fu-ben 发票副本
fa-piao-gong-ben-fei 发票工本费
fa-piao-guan-li-ban-fa 发票管理办法
fa-piao-guan-li-zhi-du 发票管理制度
fa-piao-hao-ma 发票号码
fa-piao-he-xiao 发票核销
fa-piao-jiao-xiao 发票缴销
fa-piao-jin-e 发票金额
fa-piao-ku-cun 发票库存
fa-piao-ku-fang 发票库房
fa-piao-ling-gou 发票领购
fa-piao-ling-gou-ben 发票领购本
fa-piao-ling-gou-bu 发票领购簿
fa-piao-ling-gou-zi-ge 发票领购资格
fa-piao-ming-cheng 发票名称
fa-piao-ru-ku 发票入库
fa-piao-xiang-qing 发票详情
fa-piao-yu-shou-kuan 发票预收款
fa-piao-yu-shou-shui-kuan 发票预收税款
fa-piao-zhong-lei 发票种类
fa-piao-zhuan-yong-zhang 发票专用章
fa-piao-zhuang-tai 发票状态
fa-qi-ren 发起人
fa-qi-she-li 发起设立
fa-ren 法人
fa-ren-chi-gu 法人持股
fa-ren-gu 法人股
fa-ren-pei-shou 法人配售
fa-ren-yin-hang 法人银行
fa-sheng-bian-dong 发生变动
fa-sheng-bian-hua 发生变化
fa-sheng-gai-bian 发生改变
fa-sheng-ni-zhuan 发生逆转
fa-shou-gu-piao 发售股票
fa-shou-gui-tai 发售柜台
fa-song-dai-bao 发送贷报
fa-song-jie-bao 发送借报
fa-xi-si-zhu-yi 法西斯主义
fa-xin-gu 发新股
fa-xing-biao-mu 发行表目
fa-xing-cheng-ben 发行成本
fa-xing-cheng-xiao 发行承销
fa-xing-cheng-xu 发行程序
fa-xing-dui-xiang 发行对象
fa-xing-e 发行额
fa-xing-e-du 发行额度
fa-xing-fang-an 发行方案
fa-xing-fang-shi 发行方式
fa-xing-fei-yong 发行费用
fa-xing-feng-xian 发行风险
fa-xing-gu-piao 发行股票
fa-xing-gui-mo 发行规模
fa-xing-guo-zhai 发行国债
fa-xing-hou-shi-chang 发行后市场
fa-xing-huan-jie 发行环节
fa-xing-ji-hua 发行计划
fa-xing-jia 发行价
fa-xing-jia-ge 发行价格
fa-xing-jin-e 发行金额
fa-xing-liang 发行量
fa-xing-qi 发行期
fa-xing-ren 发行人
fa-xing-shang-shi 发行上市
fa-xing-shen-he-wei-yuan-hui 发行审核委员会
fa-xing-shi-chang 发行市场
fa-xing-ti-zhi-gai-ge 发行体制改革
fa-xing-tiao-jian 发行条件
fa-xing-yin-hang 发行银行
fa-xing-yu-cheng-xiao 发行与承销
fa-xing-zai-wai 发行在外
fa-xing-zhai-quan 发行债券
fa-xing-zheng-quan 发行证券
fa-xing-zhi-du 发行制度
fa-xing-zong-e 发行总额
fa-zhan-gui-hua 发展规划
fa-zhan-hui-yuan 发展会员
fa-zhan-ji-yu 发展机遇
fa-zhan-jie-duan 发展阶段
fa-zhan-jing-yan 发展经验
fa-zhan-kong-jian 发展空间
fa-zhan-qian-jing 发展前景
fa-zhan-qu-shi 发展趋势
fa-zhan-shui-ping 发展水平
fa-zhan-su-du 发展速度
fa-zhan-yan-jiu 发展研究
fa-zhan-yin-hang 发展银行
fa-zhan-zhan-lue 发展战略
fa-zheng-ji-guan 发证机关
fa-zhi-ri-bao 法制日报
fan-dui-piao 反对票
fan-fan-zou-shi 翻番走势
fan-fu-cao-zuo 反复操作
fan-fu-chao-zuo 反复炒作
fan-guo-ying 范国英
fan-huan 返还
fan-kui-dan 反馈单
fan-liang-fan 翻两番
fan-mei-kai-fa-yin-hang 泛美开发银行
fan-san-fan 翻三番
fan-shou-yi-que-kou 反收益缺口
fan-shun-xin-xi 帆顺信息
fan-suo-shou-xu 繁琐手续
fan-tan-cheng-guo 反弹成果
fan-tan-fa-li 反弹乏力
fan-tan-gu 反弹股
fan-tan-ya-li 反弹压力
fan-tao-qi 反套期
fan-tou-ji 反投机
fan-tuo-la-si 反托拉斯
fan-xi-qian 反洗钱
fan-xi-qian-fa 反洗钱法
fan-xiang-cao-zuo-zhe 反向操作者
fan-xiang-jian-bing 反向兼并
fan-xiang-shou-yi 反向收益
fan-xiang-xu-qiu-mo-shi 反向需求模式
fan-yao-yue 反要约
fan-yi-fan 翻一番
fan-za-wen-jian 繁杂文件
fan-zhou-qi-zheng-quan 反周期证券
fan-zhuan 反转
fan-zhuan-shi-chang 反转市场
fan-zhuan-xing-tai 反转形态
fang-cha 方差
fang-chan-an-jie-dai-kuan 房产按揭贷款
fang-chan-jing-ji-ren 房产经纪人
fang-chan-tou-zi 房产投资
fang-dai 房贷
fang-dai 放贷
fang-dai-cheng-ben 放贷成本
fang-dai-fan-wei 放贷范围
fang-dai-gei 放贷给
fang-dai-yao-qiu 放贷要求
fang-dai-ye-wu 房贷业务
fang-di-chan 房地产
fang-di-chan-jin-rong 房地产金融
fang-di-chan-jing-ji-ren 房地产经纪人
fang-di-chan-pao-mo 房地产泡沫
fang-di-chan-ping-gu 房地产评估
fang-di-chan-rong-zi 房地产融资
fang-di-chan-shu-ju 房地产数据
fang-di-chan-tou-zi 房地产投资
fang-di-chan-xiang-mu 房地产项目
fang-di-chan-zhi-shu 房地产指数
fang-fan-feng-xian 防范风险
fang-gai-fang 房改房
fang-gao-li-dai 放高利贷
fang-hong-bao-an-fei 防洪保安费
fang-hong-fei 防洪费
fang-jia-shang-zhang 房价上涨
fang-jia-song-dong 房价松动
fang-jia-xia-jiang 房价下降
fang-kong-gong-zuo 防控工作
fang-kuan 房款
fang-liang 放量
fang-liang-chong-shang 放量冲上
fang-liang-da-zhang 放量大涨
fang-liang-tu-po 放量突破
fang-liang-xia-die 放量下跌
fang-ren-jing-ji 放任经济
fang-song-guan-zhi 放松管制
fang-song-yin-gen 放松银根
fang-wei-shui-kong 防伪税控
fang-wei-shui-kong-xi-tong 防伪税控系统
fang-wu-zu-lin 房屋租赁
fang-xin-she-xiao 放心赊销
fang-xin-tou-zi 放心投资
fang-yu-xing-chan-ye 防御性产业
fang-yu-xing-gu-piao 防御性股票
fang-yu-xing-pin-zhong 防御性品种
fang-yu-xing-tou-zi 防御性投资
fang-yu-xing-tou-zi-zu-he 防御性投资组合
fang-zheng-zheng-quan 方正证券
fei-chang-da 非常大
fei-chang-di 非常低
fei-chang-duo 非常多
fei-chang-gao 非常高
fei-chang-gui-jie-suan-cheng-xu 非常规结算程序
fei-chang-huo-yue 非常活跃
fei-chang-ji-ji 非常积极
fei-chang-kuai 非常快
fei-chang-kun-nan 非常困难
fei-chang-lei-si 非常类似
fei-chang-man 非常慢
fei-chang-ming-xian 非常明显
fei-chang-pin-fan 非常频繁
fei-chang-qiang 非常强
fei-chang-xiang-mu 非常项目
fei-chang-you-xian 非常有限
fei-chang-zhong-yao 非常重要
fei-cheng-gu-piao-jiao-yi-suo 费城股票交易所
fei-cheng-jiao-yi-suo 费城交易所
fei-dian-tou-zi 沸点投资
fei-fa-lian-cai 非法敛财
fei-fa-xing-wei 非法行为
fei-fu-dao-qi 非辅导期
fei-fu-ze-zhai-quan 非负责债券
fei-gong-jing-ji 非公经济
fei-hui-yuan-jing-ji-ren 非会员经纪人
fei-hui-yuan-yin-hang 非会员银行
fei-jiao-yi-suo-jiao-yi 非交易所交易
fei-jie-jin-mai-mai-jia-ge 非接近买卖价格
fei-jiu-wu-zi-fa-piao 废旧物资发票
fei-li-xi-shou-ru 非利息收入
fei-li-xing 非理性
fei-liu-tong 非流通
fei-liu-tong-gu 非流通股
fei-liu-tong-gu-gu-dong 非流通股股东
fei-liu-tong-gu-jin-shou 非流通股禁售
fei-lv 费率
fei-mai-duan-xing 非买断型
fei-mao-yi-wai-hui 非贸易外汇
fei-mao-yi-zhi-fu 非贸易支付
fei-qing-suan-suo-jiao-yi 非清算所交易
fei-que-ding-zeng-zhang 非确定增长
fei-rong-zi-xing 非融资性
fei-shi-chang-jia-ge 非市场价格
fei-shi-chang-lian-xi 非市场联系
fei-shou-yi-shou-ju 非收益收据
fei-shui-shou-ru 非税收入
fei-shui-zheng-quan 非税证券
fei-su-song-xin 非诉讼信
fei-tong-huo-peng-zhang 非通货膨胀
fei-xi-tong-feng-xian 非系统风险
fei-xian-jin 非现金
fei-xian-jin-zi-chan 非现金资产
fei-xing-gu-piao 飞行股票
fei-xing-zhe 飞行者
fei-yin-hang-jin-rong-ji-gou 非银行金融机构
fei-yong 费用
fei-yong-bu-fen 费用部分
fei-zhang-mian-zi-chan 非账面资产
fei-zheng-chang-hu 非正常户
fei-zheng-dang-xing-wei 非正当行为
fei-zheng-shi-cheng-hu 非正式称呼
fei-zhi 废止
fei-zhi-tong-huo 废止通货
fei-zhou-kai-fa-yin-hang 非洲开发银行
fei-zui-you-bao-jia 非最优报价
fen-bie-xia-die 分别下跌
fen-bu-men-bao-gao 分部门报告
fen-ci-chu-shou 分次出售
fen-ci-ze-ji 分次择机
fen-e 份额
fen-e-zui-da 份额最大
fen-fa-zhi-ling 分发指令
fen-fen-hui-tiao 纷纷回调
fen-fen-tiao-shui 纷纷跳水
fen-guan-ling-dao 分管领导
fen-hang-zhi 分行制
fen-hong 分红
fen-hong-bu 分红部
fen-hong-pai-xi 分红派息
fen-hong-yao-qiu 分红要求
fen-hu-ming-xi-zhang 分户明细账
fen-hu-zong-zhang 分户总账
fen-hua 分化
fen-jie-dian 分界点
fen-jie-jia-zhi 分解价值
fen-lei-bi-jiao 分类比较
fen-lei-er-ma-zou-shi-tu 分类二码走势图
fen-lei-gu-piao 分类股票
fen-lei-jia-ge 分类价格
fen-lei-ming-xi-zhang 分类明细账
fen-li-chi-you 分立持有
fen-li-chu 分理处
fen-li-shi-ji-jin 分离式基金
fen-li-zhai 分离债
fen-li-zhang-hu 分立账户
fen-lie-shi-chang 分裂市场
fen-mu-shi-chang 坟墓市场
fen-pai-ri 分派日
fen-pei-de-te-bie-ti-kuan-quan 分配的特别提款权
fen-pei-fang-an 分配方案
fen-pei-gu-li 分配股利
fen-pei-yu-an 分配预案
fen-pi-jie-ru 分批介入
fen-qi-chang-huan 分期偿还
fen-qi-fu-kuan 分期付款
fen-qi-jiao-yi 分期交易
fen-qi-tan-huan 分期摊还
fen-san-hua 分散化
fen-shi-jiao-yi-ji-lu 粉饰交易记录
fen-shi-xian 分时线
fen-shu-chu-bei-chu-xu 分数储备储蓄
fen-shu-gu 分数股
fen-shu-gu-fen 分数股份
fen-xi-feng-xian 分析风险
fen-xi-he-kong-zhi 分析和控制
fen-xi-ren-yuan 分析人员
fen-xi-ruan-jian 分析软件
fen-xi-shi 分析师
fen-xi-zhi-chu 分析指出
fen-xiang-shou-yi 分享收益
fen-xiao-shang 分销商
fen-xiao-xie-yi 分销协议
fen-zhi-ji-gou 分支机构
fen-zhong-chuan-mei 分众传媒
feng-bi-qi 封闭期
feng-bi-shi-di-ya-zhai-quan 封闭式抵押债券
feng-bi-shi-gong-tong-ji-jin 封闭式共同基金
feng-bi-shi-guan-li-gong-si 封闭式管理公司
feng-bi-shi-ji-jin 封闭式基金
feng-bi-shi-tou-zi-gong-si 封闭式投资公司
feng-chao-zhi-sun 蜂巢止损
feng-di-mai-ru 逢低买入
feng-ding 封顶
feng-gao-jian-cang 逢高减仓
feng-gao-mai-chu 逢高卖出
feng-hou-shou-yi 丰厚收益
feng-huang-cai-jing 凤凰财经
feng-ji-tai-jia 疯挤抬价
feng-kong 风控
feng-kuang-zhui-peng 疯狂追捧
feng-niu 疯牛
feng-pan 封盘
feng-rong-zi-xun 丰荣资讯
feng-tou-zheng-jin 风头正劲
feng-xian-bao-lu 风险暴露
feng-xian-bao-zhang 风险保障
feng-xian-cheng-shou-neng-li 风险承受能力
feng-xian-chuang-tou 风险创投
feng-xian-fang-da 风险放大
feng-xian-fang-fan 风险防范
feng-xian-fang-fan-ti-xi 风险防范体系
feng-xian-fen-san 风险分散
feng-xian-geng-da 风险更大
feng-xian-geng-xiao 风险更小
feng-xian-guan-li 风险管理
feng-xian-guan-li-bu 风险管理部
feng-xian-gui-bi 风险规避
feng-xian-ji-da 风险极大
feng-xian-ji-di 风险极低
feng-xian-jia-da 风险加大
feng-xian-jian-kong 风险监控
feng-xian-jiang-di 风险降低
feng-xian-jiao-da 风险较大
feng-xian-jiao-gao 风险较高
feng-xian-jiao-yu 风险教育
feng-xian-jing-shi 风险警示
feng-xian-ju-da 风险巨大
feng-xian-ke-kong 风险可控
feng-xian-kong-zhi 风险控制
feng-xian-kong-zhi-xi-tong 风险控制系统
feng-xian-lian-dong 风险联动
feng-xian-pian-hao 风险偏好
feng-xian-shou-yi 风险收益
feng-xian-shu-xing 风险属性
feng-xian-tao-li 风险套利
feng-xian-ti-shi 风险提示
feng-xian-ti-shi-gong-gao 风险提示公告
feng-xian-ti-shi-han 风险提示函
feng-xian-tou-zi 风险投资
feng-xian-tou-zi-gong-si 风险投资公司
feng-xian-tou-zi-ji-jin 风险投资基金
feng-xian-tou-zi-shang 风险投资商
feng-xian-tou-zi-shi-chang 风险投资市场
feng-xian-wen-ti 风险问题
feng-xian-xi-shu 风险系数
feng-xian-yan-wu 风险厌恶
feng-xian-yan-wu-zhe 风险厌恶者
feng-xian-yi-chou 风险溢酬
feng-xian-yi-jia 风险溢价
feng-xian-yin-su 风险因素
feng-xian-yu-jing 风险预警
feng-xian-yu-shou-yi 风险与收益
feng-xian-zhuang-kuang 风险状况
feng-xian-zi-ben 风险资本
feng-xian-zi-fu 风险自负
feng-xian-zui-da 风险最大
feng-xian-zui-xiao 风险最小
feng-ye-xi-lie 枫叶系列
feng-ye-yin-hang 丰业银行
feng-zhu-zhang-ting 封住涨停
feng-zhuan-kai 封转开
fu-bang-cai-jing-zhuan-jia 富邦财经专家
fu-bi 辅币
fu-bu-si-qiang 福布斯强
fu-bu-wai-mao 福步外贸
fu-cai 福彩
fu-cai-zhong-xin 福彩中心
fu-chen-li-cai 富晨理财
fu-cheng-bei-jing 富成北京
fu-dai-gong-tong-xiang-you-quan-de-gong-tong-zu-lin 附带共同享有权的共同租赁
fu-dan 附单
fu-dao-gong-zuo 辅导工作
fu-dao-qi 辅导期
fu-dao-shang-shi 辅导上市
fu-dong 浮动
fu-dong-bian-jie 浮动边界
fu-dong-hui-lv-zhi 浮动汇率制
fu-dong-huo-bi 浮动货币
fu-dong-li-lv 浮动利率
fu-dong-li-lv-piao-ju 浮动利率票据
fu-dong-li-lv-you-xian-gu 浮动利率优先股
fu-dong-qu-jian 浮动区间
fu-dong-shou-yi 浮动收益
fu-dong-zhai-wu 浮动债务
fu-du-da 幅度大
fu-du-jiao-da 幅度较大
fu-duo 浮多
fu-gang-shang-shi 赴港上市
fu-gao-jia 付高价
fu-guo 富国
fu-guo-ji-jin 富国基金
fu-guo-ji-jin-guan-li-you-xian-gong-si 富国基金管理有限公司
fu-guo-tian-yuan 富国天源
fu-hang-zhang 副行长
fu-he 复核
fu-he-tao-li 复合套利
fu-he-zeng-zhang-lv 复合增长率
fu-hua-ji-di 孵化基地
fu-hua-qi 孵化器
fu-hua-qi-ye 孵化企业
fu-hui-lv-zhi 复汇率制
fu-jia 附加
fu-jia-bu-fen 附加部分
fu-jia-fei 附加费
fu-jia-li-xi 附加利息
fu-jian-gong-shang-shi-bao 福建工商时报
