;; -*- coding: utf-8 -*--
a-ba-zhou-lin-ye-zhong-xin-yi-yuan 阿坝州林业中心医院
bei-piao-er-yuan 北票二院
bei-piao-shi-di-er-ren-min-yi-yuan 北票市第二人民医院
bei-piao-shi-di-yi-ren-min-yi-yuan 北票市第一人民医院
bei-piao-shi-zhong-yi-yuan 北票市中医院
bei-qi-jia-yi-yuan-ping-fang-fu-wu-zhan 北七家医院平坊服务站
bei-san-yi-yuan 北三医院
bei-shan-jie-dao-she-qu-wei-sheng-fu-wu-zhong-xin 北山街道社区卫生服务中心
bei-shan-yi-yuan 北山医院
bei-shan-yi-yuan 北栅医院
bei-shi-cao-zhen-wei-sheng-yuan 北石槽镇卫生院
bei-tai-guo-ji-yi-yuan 北太国际医院
bei-tai-ping-zhuang-yi-yuan 北太平庄医院
bei-tun-yi-yuan 北屯医院
bei-xia-guan-yi-yuan 北下关医院
bei-xin-an-yi-yuan 北辛安医院
bei-xin-jing-di-duan-yi-yuan 北新泾地段医院
bei-xin-qiao-yi-yuan 北新桥医院
bei-xing-yi-yuan 北兴医院
bei-ya-yi-yuan 北亚医院
bei-yi-di-san-yi-yuan 北医第三医院
bei-yi-kou-qiang 北医口腔
bei-yi-san-yuan-yan-ke-zhong-xin 北医三院眼科中心
bei-yuan-men-zhen-bu 北苑门诊部
bei-yuan-zhen-suo 北苑诊所
bei-zha-kou-zhen-wei-sheng-yuan 北闸口镇卫生院
bei-zhen-shi-ren-min-yi-yuan 北镇市人民医院
ben-cao-tang 本草堂
ben-gang-nan-di-yi-yuan 本钢南地医院
ben-gang-zong-yi-yuan 本钢总医院
ben-niu-ren-min-yi-yuan 奔牛人民医院
ben-xi-ji-jiu-zhong-xin 本溪急救中心
ben-xi-shi-chuan-ran-bing-yi-yuan 本溪市传染病医院
ben-xi-shi-di-jiu-yi-yuan 本溪市第九医院
ben-xi-shi-gu-ke-yi-yuan 本溪市骨科医院
ben-xi-shi-zhi-ye-bing-yi-yuan 本溪市职业病医院
beng-bu-ao-mei-jia-nv-zi-yi-yuan 蚌埠澳美佳女子医院
beng-bu-hai-tian-yi-yuan 蚌埠海天医院
beng-bu-hai-xiao-yi-yuan 蚌埠海校医院
beng-bu-shi-chai-you-ji-chang-zhi-gong-yi-yuan 蚌埠市柴油机厂职工医院
beng-bu-shi-chuan-ran-bing-yi-yuan 蚌埠市传染病医院
beng-bu-tie-lu-zhong-xin-yi-yuan 蚌埠铁路中心医院
beng-bu-wu-zhou-nan-ke-yi-yuan 蚌埠五洲男科医院
beng-bu-xian-dai-nv-zi-yi-yuan 蚌埠现代女子医院
beng-bu-yi-xue-yuan-di-san-fu-shu-yi-yuan 蚌埠医学院第三附属医院
beng-bu-yi-xue-yuan-fu-shu-yi-yuan 蚌埠医学院附属医院
beng-bu-zhong-shan-yi-yuan 蚌埠中山医院
bi-hai-yi-yuan 碧海医院
bi-jiang-yi-yuan 碧江医院
bi-jie-di-qu-fu-you-bao-jian-yuan 毕节地区妇幼保健院
bi-jie-di-qu-yi-yuan 毕节地区医院
bi-jie-di-qu-zhong-yi-yuan 毕节地区中医院
bi-jie-ren-ji-yi-yuan 毕节仁济医院
bi-jie-shi-kai-di-yi-yuan 毕节市凯帝医院
bi-jie-shi-ren-min-yi-yuan 毕节市人民医院
bi-jie-yan-shi-gu-ke-yi-yuan 毕节燕氏骨科医院
bi-shan-xian-fu-you-bao-jian-yuan 璧山县妇幼保健院
bi-shan-xian-yi-yuan 璧山县医院
bi-shan-xian-zhong-yi-yuan 璧山县中医院
bi-yang-xian-fu-you-bao-jian-yuan 泌阳县妇幼保健院
bi-yang-xian-ren-min-yi-yuan 泌阳县人民医院
bian-min-men-zhen 便民门诊
bian-min-zhen-suo 便民诊所
bian-zhuang-wei-sheng-yuan 卞庄卫生院
bin-chuan-xian-ren-min-yi-yuan 宾川县人民医院
bin-hai-fu-dong-yi-yuan 滨海阜东医院
bin-hai-she-qu-wei-sheng-fu-wu-zhong-xin 滨海社区卫生服务中心
bin-hai-wei-sheng-yuan 滨海卫生院
bin-hai-xian-di-er-ren-min-yi-yuan 滨海县第二人民医院
bin-hai-xian-ren-min-yi-yuan 滨海县人民医院
bin-hai-xian-zhong-yi-yuan 滨海县中医院
bin-hai-xin-gang-yi-yuan 滨海新港医院
bin-hai-yi-yuan 滨海医院
bin-he-yi-yuan 滨河医院
bin-hu-yi-yuan 滨湖医院
bin-jiang-qu-fu-you-bao-jian-yuan 滨江区妇幼保健院
bin-jiang-she-qu-wei-sheng-fu-wu-zhong-xin 滨江社区卫生服务中心
bin-jiang-she-qu-wei-sheng-zhan 滨江社区卫生站
bin-jiang-yi-yuan 滨江医院
bin-nan-yi-yuan 滨南医院
bin-shi-kou-qiang 宾适口腔
bin-shui-yi-yuan 宾水医院
bin-xian-di-er-ren-min-yi-yuan 彬县第二人民医院
bin-xian-ren-min-yi-yuan 宾县人民医院
bin-xian-xian-yi-yuan 彬县县医院
bin-xian-zhong-yi-yi-yuan 彬县中医医院
bin-xian-zhong-yi-yuan 宾县中医院
bin-yang-xian-fu-you-bao-jian-yuan 宾阳县妇幼保健院
bin-yang-xian-ren-min-yi-yuan 宾阳县人民医院
bin-yang-xian-zhong-yi-yuan 宾阳县中医院
bin-zhou-lian-he-yi-yuan 滨州联合医院
bin-zhou-sheng-zhi-yi-xue-yi-yuan 滨州生殖医学医院
bin-zhou-shi-di-er-ren-min-yi-yuan 滨州市第二人民医院
bin-zhou-shi-fu-tui-jun-ren-yi-yuan 滨州市复退军人医院
bin-zhou-shi-zhong-xin-yi-yuan 滨州市中心医院
bin-zhou-tong-kang-yi-yuan 滨州通康医院
bin-zhou-zhong-yi-fu-ke-yi-yuan 滨州中医妇科医院
bing-tuan-jian-gong-shi 兵团建工师
bing-tuan-yi-yuan 兵团医院
bo-ai-chi-ke 博爱齿科
bo-ai-kang-fu-yi-yuan 博爱康复医院
bo-ai-kou-qiang 博爱口腔
bo-ai-men-zhen 博爱门诊
bo-ai-men-zhen-bu 博爱门诊部
bo-ai-mi-niao-zhuan-ke-yi-yuan 博爱泌尿专科医院
bo-ai-nv-zi-yi-yuan 博爱女子医院
bo-ai-sheng-zhi-yi-xue-yi-yuan 博爱生殖医学医院
bo-ai-tang-zhong-yi-men-zhen 博爱堂中医门诊
bo-ai-wei-sheng-yuan 博爱卫生院
bo-ai-xian-ren-min-yi-yuan 博爱县人民医院
bo-ai-ya-ke 博爱牙科
bo-ai-yan-ke 博爱眼科
bo-ai-yi-yuan 博爱医院
bo-ai-yi-yuan-yan-ke 博爱医院眼科
bo-ai-zhen-suo 博爱诊所
bo-ai-zhong-yi-yuan 博爱中医院
bo-bai-xian-ren-min-yi-yuan 博白县人民医院
bo-bai-xian-zhong-yi-yi-yuan 博白县中医医院
bo-da-mi-niao-sheng-zhi-yi-yuan 博大泌尿生殖医院
bo-da-mi-niao-wai-ke-yi-yuan 博大泌尿外科医院
bo-da-yi-yuan 博大医院
bo-dao-yi-yuan 播道医院
bo-fang-yi-yuan 帛方医院
bo-hai-lu-wei-sheng-yuan 渤海路卫生院
bo-hai-shi-you-yi-yuan 渤海石油医院
bo-hai-yi-yuan 博海医院
bo-hai-yi-yuan 渤海医院
bo-hai-zhong-yi-yuan 渤海中医院
bo-hai-zhuan-jia-yi-yuan 渤海专家医院
bo-hu-xian-ren-min-yi-yuan 博湖县人民医院
bo-hua-yi-yuan 博铧医院
bo-hui-ti-jian 博惠体检
bo-ji-men-zhen 博济门诊
bo-ji-yi-yuan 博济医院
bo-kang-men-zhen 博康门诊
bo-kang-yi-yuan 博康医院
bo-li-xian-fu-you-bao-jian-yuan 勃利县妇幼保健院
bo-li-xian-ren-min-yi-yuan 勃利县人民医院
bo-li-xian-zhong-yi-yuan 勃利县中医院
bo-lin-yi-yuan 柏林医院
bo-luo-dong-jiang-fu-ke-men-zhen 博罗东江妇科门诊
bo-luo-shi-ba-yi-yuan 博罗石坝医院
bo-luo-xian-dai-yi-yuan 博罗现代医院
bo-luo-xian-zhong-yi-yi-yuan 博罗县中医医院
bo-luo-zhong-yi-yuan 博罗中医院
bo-mei-kou-qiang 博美口腔
bo-mei-zheng-xing 博美整形
bo-mei-zheng-xing-mei-rong-yi-yuan 博美整形美容医院
bo-mei-zheng-xing-yi-yuan 博美整形医院
bo-ren-yi-yuan 博仁医院
bo-rui-yi-yuan 博瑞医院
bo-shan-li-kang-yi-yuan 博山利康医院
bo-shan-qu-yi-yuan 博山区医院
bo-shan-qu-zhong-yi-yuan 博山区中医院
bo-shan-shuang-xin-yi-yuan 博山双馨医院
bo-shan-zhong-shan-yi-yuan 博山中山医院
bo-shi-nan-ke-yi-yuan 博仕男科医院
bo-shi-nan-ke-yi-yuan 博士男科医院
bo-shui-yi-yuan 渤水医院
bo-tai-yi-yuan 博泰医院
bo-tou-shi-di-er-yi-yuan 泊头市第二医院
bo-tou-shi-yi-yuan 泊头市医院
bo-tou-yi-yuan 泊头医院
bo-wen-kou-qiang-men-zhen 博文口腔门诊
bo-xin-kou-qiang 博信口腔
bo-xing-di-er-ren-min-yi-yuan 博兴第二人民医院
bo-xing-xian-ren-min-yi-yuan 博兴县人民医院
bo-xing-zhong-xin-yi-yuan 博兴中心医院
bo-ya-chi-ke 博雅齿科
bo-ya-kou-qiang 博雅口腔
bo-ya-yan-ke-yi-yuan 博雅眼科医院
bo-ya-yi-yuan 博雅医院
bo-ye-xian-yi-yuan 博野县医院
bo-ye-xian-zhong-yi-yuan 博野县中医院
bo-yi-kou-qiang 博艺口腔
bo-yi-zhen-suo 博医诊所
bo-zhou-chang-jiang-yi-yuan 亳州长江医院
bo-zhou-ren-min-yi-yuan 博州人民医院
bo-zhou-san-fen-yuan 亳州三分院
bo-zhou-shi-fu-you-bao-jian-suo 亳州市妇幼保健所
bo-zhou-shi-ren-min-yi-yuan 亳州市人民医院
bo-zhou-shi-wan-jiang-yi-yuan 亳州市皖江医院
bo-zhou-shi-xing-hua-fu-you-bao-jian-yuan 亳州市兴华妇幼保健院
bo-zhou-shi-yao-du-yi-yuan 亳州市药都医院
bo-zhou-xie-he-yi-yuan 亳州协和医院
bo-zi-yi-yuan 泊子医院
bu-cun-yi-yuan 埠村医院
bu-er-jin-xian-ren-min-yi-yuan 布尔津县人民医院
bu-hu-yi-yuan 埠湖医院
bu-ji-ren-min-yi-yuan 布吉人民医院
bu-ji-zhen-ren-min-yi-yuan 布吉镇人民医院
bu-tuo-xian-ren-min-yi-yuan 布拖县人民医院
bu-yi-zhong-xin-yi-yuan 卜弋中心医院
bu-yun-bu-yu-zheng-yi-yuan 不孕不育症医院
bu-yun-bu-yu-zhi-liao-zhong-xin 不孕不育治疗中心
bu-yun-bu-yu-zhuan-ke 不孕不育专科
cai-dian-qu-fu-you-bao-jian-yuan 蔡甸区妇幼保健院
cai-dian-qu-hong-shi-zi-hui-yi-yuan 蔡甸区红十字会医院
cai-dian-qu-zhong-yi-yuan 蔡甸区中医院
cai-he-jie-dao-she-qu-wei-sheng-zhong-xin 采荷街道社区卫生中心
cai-hong-yi-yuan 彩虹医院
cai-jia-po-er-bi-hou-zhuan-ke-yi-yuan 蔡家坡耳鼻喉专科医院
cai-mao-yi-yuan 财贸医院
cai-shu-rong-nei-ke-zhen-suo 蔡书荣内科诊所
cai-tang-hua-qiao-yi-yuan 彩塘华侨医院
cai-yuan-wei-sheng-yuan 财源卫生院
can-ji-er-tong-kang-fu-zhong-xin 残疾儿童康复中心
can-ji-ren-kang-fu-zhong-xin 残疾人康复中心
can-lian-yi-yuan 残联医院
cang-nan-long-cheng-zhong-yi-yuan 苍南龙城中医院
cang-nan-xian-fu-you-bao-jian-yuan 苍南县妇幼保健院
cang-nan-xian-ren-min-yi-yuan 苍南县人民医院
cang-nan-xian-zhong-yi-yuan 苍南县中医院
cang-shan-xian-bian-zhuang-zhen-wei-sheng-yuan 苍山县卞庄镇卫生院
cang-shan-xian-fu-you-bao-jian-yuan 苍山县妇幼保健院
cang-shan-xian-ren-min-yi-yuan 苍山县人民医院
cang-shan-xian-xi-guan-yi-yuan 苍山县西关医院
cang-shan-xian-yi-yuan 苍山县医院
cang-wu-ji-he-yi-yuan 苍梧济和医院
cang-wu-xian-fu-you-bao-jian-yuan 苍梧县妇幼保健院
cang-wu-xian-ren-min-yi-yuan 苍梧县人民医院
cang-wu-xian-yi-yuan 苍梧县医院
cang-wu-xian-zhong-yi-yuan 苍梧县中医院
cang-xi-xian-fu-you-bao-jian-yuan 苍溪县妇幼保健院
cang-xi-xian-ren-min-yi-yuan 苍溪县人民医院
cang-xian-yi-yuan 沧县医院
cang-xian-zhong-yi-yuan 沧县中医院
cang-yuan-xian-ren-min-yi-yuan 沧源县人民医院
cang-zhou-an-ding-yi-yuan 沧州安定医院
cang-zhou-kou-qiang-yi-yuan 沧州口腔医院
cang-zhou-shi-an-mo-yi-yuan 沧州市按摩医院
cang-zhou-shi-chuan-ran-bing-yi-yuan 沧州市传染病医院
cang-zhou-shi-fu-nv-er-tong-yi-yuan 沧州市妇女儿童医院
cang-zhou-shi-fu-you-bao-jian-yuan 沧州市妇幼保健院
cang-zhou-shi-jing-shen-bing-yi-yuan 沧州市精神病医院
cang-zhou-shi-min-zu-yi-yuan 沧州市民族医院
cang-zhou-shi-ren-min-yi-yuan 沧州市人民医院
cang-zhou-shi-san-hua-jian-yi-yuan 沧州十三化建医院
cang-zhou-shi-zhong-xin-yi-yuan 沧州市中心医院
cang-zhou-yan-ke-yi-yuan 沧州眼科医院
cang-zhou-you-hao-men-zhen 沧州友好门诊
cang-zhou-zhong-xi-yi-jie-he-yi-yuan-dong-yuan-qu 沧州中西医结合医院东院区
cao-bo-shi-mei-rong-zheng-xing-yi-yuan 曹博士美容整形医院
cao-he-zhen-wei-sheng-yuan 漕河镇卫生院
cao-kai-yong-zhong-yi-nan-ke-yi-yuan 曹开镛中医男科医院
cao-miao-wei-sheng-yuan 草庙卫生院
cao-qiao-wei-sheng-yuan 曹桥卫生院
cao-tan-yi-yuan 草滩医院
cao-tang-yi-yuan 草堂医院
cao-xi-bei-lu-di-duan-yi-yuan 漕溪北路地段医院
cao-xi-wei-sheng-yuan 曹溪卫生院
cao-xi-yi-yuan 曹溪医院
cao-xian-di-er-ren-min-yi-yuan 曹县第二人民医院
cao-xian-fu-you-bao-jian-yuan 曹县妇幼保健院
cao-xian-pan-shi-yi-yuan 曹县磐石医院
cao-xian-ren-min-yi-yuan 曹县人民医院
cao-xian-yi-yuan 曹县医院
cao-xian-zhong-yi-yi-yuan 曹县中医医院
cao-zhuang-yi-yuan 曹庄医院
cao-zi-li-yi-yuan 曹子里医院
ce-heng-xian-ren-min-yi-yuan 册亨县人民医院
ce-le-xian-ren-min-yi-yuan 策勒县人民医院
cen-gong-xian-ren-min-yi-yuan 岑巩县人民医院
cen-xi-shi-ren-min-yi-yuan 岑溪市人民医院
cen-xi-shi-yi-yuan 岑溪市医院
cen-xi-shi-zhong-yi-yuan 岑溪市中医院
cha-dian-wei-sheng-yuan 茶店卫生院
cha-he-yi-yuan 岔河医院
cha-ling-xian-fu-you-bao-jian-yuan 茶陵县妇幼保健院
cha-ling-xian-ren-min-yi-yuan 茶陵县人民医院
cha-ling-zhong-yi-yuan 茶陵中医院
cha-shan-liu-huang-wei-sheng-zhan 茶山刘黄卫生站
cha-shan-yi-yuan 茶山医院
cha-shan-zhong-xin-wei-sheng-yuan 茶山中心卫生院
cha-you-zhong-qi-yi-yuan 察右中旗医院
chan-cheng-qu-zhong-xin-yi-yuan 禅城区中心医院
chan-cheng-qu-zhong-xin-yi-yuan-jiang-wan-men-zhen-bu 禅城区中心医院江湾门诊部
chang-an-bei-li-wang-gu-ke-yi-yuan 长安北里王骨科医院
chang-an-da-xue-yi-yuan 长安大学医院
chang-an-fu-er-zhuan-ke-yi-yuan 长安妇儿专科医院
chang-an-jie-kou-yi-yuan 长安街口医院
chang-an-men-zhen-bu 长安门诊部
chang-an-qu-fu-you-bao-jian-yuan 长安区妇幼保健院
chang-an-qu-fu-you-bao-jian-zhan 长安区妇幼保健站
chang-an-qu-yi-yuan 长安区医院
chang-an-qu-zhong-yi-yuan 长安区中医院
chang-an-sha-gang-gong-ye-qu-wei-sheng-zhan 长安厦岗工业区卫生站
chang-an-shang-jiao-wei-sheng-yuan 长安上角卫生院
chang-an-wei-sheng-yuan 长安卫生院
chang-an-wu-sha-yi-yuan 长安乌沙医院
chang-an-yi-xue-yuan-kou-qiang-men-zhen 长安医学院口腔门诊
chang-an-yi-yuan 长安医院
chang-an-yi-yuan 常安医院
chang-an-zhen-wei-sheng-yuan 长安镇卫生院
chang-an-zhong-xin-wei-sheng-yuan 长安中心卫生院
chang-bai-she-qu-wei-sheng-fu-wu-zhong-xin 长白社区卫生服务中心
chang-bai-xian-yi-yuan 长白县医院
chang-bai-yi-yuan 长白医院
chang-bei-yi-yuan 昌北医院
chang-bu-yi-yuan 场部医院
chang-cheng-men-zhen 长城门诊
chang-cheng-men-zhen-bu 长城门诊部
chang-cheng-yi-yuan 长城医院
chang-cheng-yi-yuan 昌城医院
chang-chun-an-ning-jing-shen-kang-fu-yi-yuan 长春安宁精神康复医院
chang-chun-bai-qiu-en-kou-qiang-men-zhen-bu 长春白求恩口腔门诊部
chang-chun-bai-qiu-en-kou-qiang-yi-yuan 长春白求恩口腔医院
chang-chun-bei-fang-yi-yuan 长春北方医院
chang-chun-chun-ri-yi-yuan 长春春日医院
chang-chun-da-xue-yi-yuan 长春大学医院
chang-chun-dong-da-gang-chang-yi-yuan 长春东大肛肠医院
chang-chun-gong-jiao-yi-yuan 长春公交医院
chang-chun-guan-dong-fu-ke-yi-yuan 长春关东妇科医院
chang-chun-guo-ji-lv-xing-wei-sheng-bao-jian-zhong-xin 长春国际旅行卫生保健中心
chang-chun-guo-yi-tang-yi-yuan 长春国医堂医院
chang-chun-hang-da-yi-yuan 长春航大医院
chang-chun-ji-sui-bing-yi-yuan 长春脊髓病医院
chang-chun-jiu-long-nan-ke-yi-yuan 长春九龙男科医院
chang-chun-jun-an-yi-yuan 长春君安医院
chang-chun-kang-ping-zhong-yi-yuan 长春康平中医院
chang-chun-lan-tian-yi-yuan 长春蓝天医院
chang-chun-li-gong-da-xue-yi-yuan 长春理工大学医院
chang-chun-liang-shi-zhong-yi-yuan 长春梁氏中医院
chang-chun-liu-shi-shao-shang-yi-yuan 长春刘氏烧伤医院
chang-chun-mai-guan-bing-yi-yuan 长春脉管病医院
chang-chun-pan-shi-yi-yuan 长春盘石医院
chang-chun-ping-an-yi-yuan 长春平安医院
chang-chun-qian-jin-yi-yuan 长春前进医院
chang-chun-qiao-wai-yi-yuan 长春桥外医院
chang-chun-ren-shu-yi-yuan 长春仁术医院
chang-chun-rui-sheng-yi-yuan 长春瑞生医院
chang-chun-she-qu-wei-sheng-fu-wu-zhan 长春社区卫生服务站
chang-chun-sheng-xin-yi-yuan 长春圣心医院
chang-chun-shi-chuan-ran-bing-yi-yuan 长春市传染病医院
chang-chun-shi-di-er-yi-yuan 长春市第二医院
chang-chun-shi-di-liu-yi-yuan 长春市第六医院
chang-chun-shi-di-wu-yi-yuan 长春市第五医院
chang-chun-shi-er-dao-qu-ren-min-yi-yuan 长春市二道区人民医院
chang-chun-shi-fu-chan-yi-yuan 长春市妇产医院
chang-chun-shi-fu-you-bao-jian-suo 长春市妇幼保健所
chang-chun-shi-hui-ai-kou-qiang-yi-yuan 长春市惠爱口腔医院
chang-chun-shi-jie-he-bing-yi-yuan 长春市结核病医院
chang-chun-shi-kai-xuan-yi-yuan 长春市凯旋医院
chang-chun-shi-kang-ning-yi-yuan 长春市康宁医院
chang-chun-shi-kou-qiang-yi-yuan 长春市口腔医院
chang-chun-shi-kou-qiang-yi-yuan-zhong-zhi-ya-zhong-xin 长春市口腔医院种植牙中心
chang-chun-shi-lao-nian-bing-yi-yuan 长春市老年病医院
chang-chun-shi-lian-yun-yi-yuan 长春市联运医院
chang-chun-shi-lv-yuan-qu-fu-you-bao-jian-yuan 长春市绿园区妇幼保健院
chang-chun-shi-nan-guan-qu-qing-ming-yi-yuan 长春市南关区清明医院
chang-chun-shi-nan-guan-qu-shu-guang-yi-yuan 长春市南关区曙光医院
chang-chun-shi-nan-guan-qu-yi-yuan 长春市南关区医院
chang-chun-shi-nao-ji-shui-yi-yuan 长春市脑积水医院
chang-chun-shi-re-dian-zhi-gong-yi-yuan 长春市热电职工医院
chang-chun-shi-ren-min-yi-yuan 长春市人民医院
chang-chun-shi-shen-jing-jing-shen-bing-yi-yuan 长春市神经精神病医院
chang-chun-shi-sheng-zhi-jian-kang-zhong-xin-yi-yuan 长春市生殖健康中心医院
chang-chun-shi-tong-ji-yi-yuan 长春市同济医院
chang-chun-shi-xin-li-yi-yuan 长春市心理医院
chang-chun-shi-xiong-ke-yi-yuan 长春市胸科医院
chang-chun-shi-ying-ping-lei-feng-shi-yi-yuan 长春市英平类风湿医院
chang-chun-shi-zhi-ye-bing-yi-yuan 长春市职业病医院
chang-chun-shi-zhong-yi-yuan 长春市中医院
chang-chun-shou-yi-da-xue-gao-ji-chong-wu-yi-yuan 长春兽医大学高级宠物医院
chang-chun-tang-niao-bing-yi-yuan 长春糖尿病医院
chang-chun-tian-ci-yi-yuan 长春天慈医院
chang-chun-tie-lu-yi-yuan 长春铁路医院
chang-chun-tong-chun-tang-pi-fu-bing-yi-yuan 长春同春堂皮肤病医院
chang-chun-wan-zhou-yi-yuan 长春万洲医院
chang-chun-wei-chang-yi-yuan 长春胃肠医院
chang-chun-xian-dai-nan-ke-yi-yuan 长春现代男科医院
chang-chun-xiao-chuan-bing-yi-yuan 长春哮喘病医院
chang-chun-xie-he-fu-ke-yi-yuan 长春协和妇科医院
chang-chun-yan-an-yi-yuan 长春延安医院
chang-chun-yi-qi-zong-yi-yuan 长春一汽总医院
chang-chun-yi-yuan 长春医院
chang-chun-ying-ping-yi-yuan 长春英平医院
chang-chun-yue-shi-wan-quan-tang-yi-yuan 长春岳氏万全堂医院
chang-chun-zhen-suo 长春诊所
chang-chun-zheng-xing-mei-rong-yi-yuan 长春整形美容医院
chang-chun-zhong-xi-yi-jie-he-yi-yuan 长春中西医结合医院
chang-chun-zhong-yan-zheng-xing-mei-rong-yi-yuan 长春中妍整形美容医院
chang-chun-zhong-yi-xue-yuan-feng-shi-yi-yuan 长春中医学院风湿医院
chang-chun-zhong-yi-yuan 长春中医院
chang-chun-zhong-yi-zhen-jiu-yi-yuan 长春中医针灸医院
chang-dao-xian-ren-min-yi-yuan 长岛县人民医院
chang-de-ai-er-yan-ke-yi-yuan 常德爱尔眼科医院
chang-de-de-xing-yi-yuan 常德德星医院
chang-de-hu-cheng-yi-yuan 常德护城医院
chang-de-jiao-tong-yi-yuan 常德交通医院
chang-de-li-yuan-yi-xue-jian-yan-zhong-xin 常德力源医学检验中心
chang-de-nan-ke-yi-yuan 常德男科医院
chang-de-shi-de-shan-yi-yuan 常德市德山医院
chang-de-shi-di-er-zhong-yi-yuan 常德市第二中医院
chang-de-shi-di-liu-ren-min-yi-yuan 常德市第六人民医院
chang-de-shi-di-qi-ren-min-yi-yuan 常德市第七人民医院
chang-de-shi-di-san-ren-min-yi-yuan 常德市第三人民医院
chang-de-shi-di-wu-ren-min-yi-yuan 常德市第五人民医院
chang-de-shi-di-yi-ren-min-yi-yuan 常德市第一人民医院
chang-de-shi-di-yi-zhong-yi-yuan 常德市第一中医院
chang-de-shi-ding-cheng-qu-fu-you-bao-jian-yuan 常德市鼎城区妇幼保健院
chang-de-shi-fu-you-bao-jian-yuan 常德市妇幼保健院
chang-de-shi-hong-shi-zi-hui-yi-yuan 常德市红十字会医院
chang-de-shi-kang-fu-yi-yuan 常德市康复医院
chang-de-shi-pi-fu-bing-yi-yuan 常德市皮肤病医院
chang-de-shi-zhong-liu-yi-yuan 常德市肿瘤医院
chang-dong-yi-yuan 长动医院
chang-feng-she-qu-wei-sheng-fu-wu-zhong-xin 长风社区卫生服务中心
chang-feng-xian-yi-yuan 长丰县医院
chang-feng-xian-zhong-yi-yuan 长丰县中医院
chang-feng-xian-zhuang-mu-zhong-xin-wei-sheng-yuan 长丰县庄墓中心卫生院
chang-feng-yi-yuan 长风医院
chang-feng-yi-yuan 长峰医院
chang-gang-wei-sheng-yuan 长岗卫生院
chang-gang-zong-yi-yuan 长钢总医院
chang-ge-shi-ren-min-yi-yuan 长葛市人民医院
chang-ge-shi-zhong-yi-yuan 长葛市中医院
chang-geng-yi-yuan 长庚医院
chang-gou-yi-yuan 长沟医院
chang-guang-yi-yuan 长广医院
chang-guo-yi-yuan 昌国医院
chang-hai-men-zhen 长海门诊
chang-hai-men-zhen-bu 长海门诊部
chang-hai-yi-yuan 长海医院
chang-hai-yi-yuan-sheng-zhi-yi-xue-zhong-xin 长海医院生殖医学中心
chang-hai-zong-he-men-zhen-bu 长海综合门诊部
chang-hang-yi-yuan 长航医院
chang-hang-zong-yi-yuan 长航总医院
chang-he-jie-dao-she-qu-wei-sheng-fu-wu-zhong-xin 长河街道社区卫生服务中心
chang-he-yi-yuan 长和医院
chang-he-yi-yuan 长河医院
chang-hong-yi-yuan 长虹医院
chang-hong-zhen-suo 长虹诊所
chang-ji-an-jia-yi-yuan 昌吉安佳医院
chang-ji-shi-di-er-ren-min-yi-yuan 昌吉市第二人民医院
chang-ji-shi-ren-min-yi-yuan 昌吉市人民医院
chang-ji-xin-yue-mu-ying-hu-li-yuan 昌吉新月母婴护理院
chang-ji-zhou-ren-min-yi-yuan 昌吉州人民医院
chang-ji-zhou-yi-yuan 昌吉州医院
chang-ji-zhou-zhong-yi-yi-yuan 昌吉州中医医院
chang-jiang-li-zu-zi-zhi-xian-zhong-yi-yuan 昌江黎族自治县中医院
chang-jiang-lu-di-duan-yi-yuan 长江路地段医院
chang-jiang-wei-sheng-yuan 长江卫生院
chang-jiang-xian-ren-min-yi-yuan 昌江县人民医院
chang-jiang-yi-liao-men-zhen 长江医疗门诊
chang-jiang-yi-yuan 长江医院
chang-jiang-zhong-yi-yuan 长江中医院
chang-ke-yi-yuan 长客医院
chang-le-fang-she-qu-wei-sheng-fu-wu-zhong-xin 长乐坊社区卫生服务中心
chang-le-ji-yi-yuan 常乐集医院
chang-le-wei-sheng-yuan 长乐卫生院
chang-le-xian-qiao-guan-zhong-xin-wei-sheng-yuan 昌乐县乔官中心卫生院
chang-le-xian-ren-min-yi-yuan 昌乐县人民医院
chang-le-xian-wei-sheng-fang-yi-zhan 昌乐县卫生防疫站
chang-le-yi-yuan 长乐医院
chang-le-yi-yuan 常乐医院
chang-le-zhong-shan-nv-zi-yi-yuan 长乐中山女子医院
chang-li-xian-yi-yuan 昌黎县医院
chang-li-xian-zhong-yi-yuan 昌黎县中医院
chang-liang-yi-yuan 长良医院
chang-lin-yi-yuan 长林医院
chang-ling-nao-xue-guan-bing-yi-yuan 长龄脑血管病医院
chang-ling-wei-sheng-yuan 长岭卫生院
chang-ling-xian-ren-min-yi-yuan 长岭县人民医院
chang-ling-xian-zhong-yi-yuan 长岭县中医院
chang-ling-yi-yuan 长岭医院
chang-nan-men-zhen 昌南门诊
chang-ning-qu-fu-you-bao-jian-yuan 长宁区妇幼保健院
chang-ning-qu-hong-shi-zi-yi-yuan 长宁区红十字医院
chang-ning-qu-jing-shen-wei-sheng-zhong-xin 长宁区精神卫生中心
chang-ning-qu-tian-shan-zhong-yi-yi-yuan 长宁区天山中医医院
chang-ning-qu-tong-ren-yi-yuan 长宁区同仁医院
chang-ning-qu-zhong-xin-yi-yuan 长宁区中心医院
chang-ning-qu-zun-yi-she-qu-wei-sheng-zhong-xin 长宁区遵义社区卫生中心
chang-ning-shi-di-er-ren-min-yi-yuan 常宁市第二人民医院
