;; -*- coding: utf-8 -*--
a-bei-er-bian-huan 阿贝尔变换
gao-si-ma-er-ke-fu-ding-li 高斯马尔可夫定理
gao-si-qiu-ji 高斯求积
gao-si-qiu-ji-gong-shi 高斯求积公式
gao-si-qu-lv 高斯曲率
gao-si-sai-de-er-die-dai-fa 高斯赛德尔迭代法
gao-si-sai-de-er-fang-fa 高斯赛得尔方法
gao-si-shu-yu 高斯数域
gao-si-xiao-qu-fa 高斯消去法
gao-si-xiao-yuan-fa 高斯消元法
gao-si-xin-dao 高斯信道
gao-si-xin-yuan 高斯信源
gao-si-xing-qiu-ji 高斯型求积
gao-si-ying-she 高斯映射
gao-si-zheng-shu 高斯整数
gao-si-zheng-shu-huan 高斯整数环
gao-si-zhong-xing-qu-xian 高斯钟形曲线
ge-an 个案
ge-an-shu 个案数
ge-bian 割边
ge-bu-shu 割补术
ge-bu-zu-ai 割补阻碍
ge-dan-ding-li 戈丹定理
ge-de-ba-he-wen-ti 哥德巴赫问题
ge-de-er-pei-shu-fa 哥德尔配数法
ge-de-er-shu 哥德尔数
ge-deng-shi 格等式
ge-deng-shi-lei 格等式类
ge-dian 割点
ge-dian-fen-bu 格点分布
ge-dian-tu 割点图
ge-du-nuo-fu-fa 戈杜诺夫法
ge-duo-xiang-shi 格多项式
ge-er-de-shi-tai-yin-fa 戈尔德施泰因法
ge-er-deng-fang-cheng 戈尔登方程
ge-er-ding-bu-deng-shi 戈尔丁不等式
ge-er-ding-shuang-qu-xing-tiao-jian 戈尔丁双曲性条件
ge-fen-bu 格分布
ge-gen-bao-er-duo-xiang-shi 格根包尔多项式
ge-ji 割集
ge-ji-ju-zhen 割集矩阵
ge-la-mu 格拉姆
ge-la-mu-hang-lie-shi 格拉姆行列式
ge-la-mu-ju-zhen 格拉姆矩阵
ge-la-si-man-cu 格拉斯曼簇
ge-lai-ma 戈莱码
ge-lan-mu-hang-lie-shi 格兰姆行列式
ge-lan-mu-ju-zhen 格兰姆矩阵
ge-lan-mu-shi-mi-te-zheng-jiao-hua-fa 格兰姆施密特正交化法
ge-lang-wo-er-bu-deng-shi 格朗沃尔不等式
ge-li-ji 隔离集
ge-li-xiang 格理想
ge-lin-gong-shi 格林公式
ge-lin-han-shu 格林函数
ge-lin-kong-jian 格林空间
ge-lin-rong-liang 格林容量
ge-lin-suan-zi 格林算子
ge-lin-wei-shi 格林位势
ge-lun 格论
ge-lun-si-tan-huan 戈伦斯坦环
ge-luo-tan-di-ke-qun 格罗坦狄克群
ge-luo-teng-di-ke-qun 格罗滕迪克群
ge-lv-zi 格滤子
ge-pa-ma 戈帕码
ge-ping-mian 割平面
ge-ping-mian-fa 割平面法
ge-ren-bu 个人步
ge-ren-wu-cha 个人误差
ge-ti 个体
ge-ti-bian-li-ding-li 个体遍历定理
ge-ti-bian-yuan 个体变元
ge-tong-gou 格同构
ge-tong-tai 格同态
ge-tong-xing-ti 蛤同性体
ge-xian-fa 割线法
ge-xu-qun 格序群
ge-xu-xian-xing-kong-jian 格序线性空间
ge-yi-xing 蛤异性
ge-yuan-duo-xiang-shi 割圆多项式
ge-yuan-fang-cheng 割圆方程
ge-yuan-han-shu 割圆函数
ge-yuan-qu-xian 割圆曲线
ge-yuan-yu 割圆域
ge-yuan-zheng-shu 割圆整数
ge-yun-suan 格运算
ge-zi 格子
ge-zi-ma 格子码
ge-zi-she-ji 格子设计
ge-zi-tu 格子图
gen-han-shu 根函数
gen-hao 根号
gen-huan 根环
gen-ji 根基
gen-ju 根据
gen-kong-jian 根空间
gen-ping-fang-fa 根平方法
gen-ping-mian 根平面
gen-shi 根式
gen-shi-kuo-zhang 根式扩张
gen-tian-jia 根添加
gen-tiao-jian 根条件
gen-xi 根系
gen-xin 根心
gen-yu 根域
gen-zhi-shu 根指数
gen-zhou 根轴
gen-zi-kong-jian 根子空间
geng-bi 更比
geng-huan-ce-lue 更换策略
geng-huan-li-lun 更换理论
geng-lie-wen-ti 更列问题
geng-xin-ding-li 更新定理
geng-xin-fang-cheng 更新方程
geng-xin-guo-cheng 更新过程
geng-xin-han-shu 更新函数
geng-xin-li-lun 更新理论
geng-xin-lun 更新论
geng-xin-mi-du 更新密度
gong-bei-shu 公倍数
gong-bei-yuan 公倍元
gong-bi 公比
gong-bian 共变
gong-bian-dao-shu 共变导数
gong-bian-han-zi 共变函子
gong-bian-kai-tuo 共变开拓
gong-bian-shi 共变式
gong-bian-wei-fen 共变微分
gong-bian-wei-fen-fa 共变微分法
gong-bian-xi-shu 共变系数
gong-bian-xiang-liang 共变向量
gong-bian-zhang-liang 共变张量
gong-bian-zhang-liang-chang 共变张量场
gong-bian-zhi-biao 共变指标
gong-bian-zuo-biao 共变坐标
gong-ce-du 公测度
gong-cha 公差
gong-dian 共点
gong-dian-mian 共点面
gong-dian-xing-shi 共点形式
gong-e 共轭
gong-e-ao-han-shu 共轭凹函数
gong-e-bian-huan 共轭变换
gong-e-biao-shi 共轭表示
gong-e-bing-xiang-liang 共轭并向量
gong-e-bo-song-he 共轭泊松核
gong-e-cha-ji 共轭差积
gong-e-dai-shu-shu 共轭代数数
gong-e-dian 共轭点
gong-e-er-ci-qu-xian 共轭二次曲线
gong-e-fang-xiang 共轭方向
gong-e-fang-xiang-fa 共轭方向法
gong-e-fu-li-ye-ji-fen 共轭傅里叶积分
gong-e-fu-shu 共轭复数
gong-e-fu-xing 共轭复形
gong-e-gen 共轭根
gong-e-gui-ji 共轭轨迹
gong-e-han-shu 共轭函数
gong-e-ji-shu 共轭级数
gong-e-jiao-dian 共轭焦点
gong-e-ju-zhen 共轭矩阵
gong-e-kong-jian 共轭空间
gong-e-la-ding-ping 共轭拉丁平
gong-e-lei 共轭类
gong-e-qu-xian 共轭曲线
gong-e-shu 共轭数
gong-e-shuang-chong-han-shu 共轭双重函数
gong-e-shuang-qu-mian 共轭双曲面
gong-e-shuang-qu-xian 共轭双曲线
gong-e-si-yuan-shu 共轭四元数
gong-e-suan-zi 共轭算子
gong-e-ti-du-fa 共轭梯度法
gong-e-tiao-he-han-shu 共轭调和函数
gong-e-tu-han-shu 共轭凸函数
gong-e-wei-fen-suan-zi 共轭微分算子
gong-e-xian-yan-fen-bu-zu 共轭先验分布族
gong-e-xiang-liang 共轭向量
gong-e-ying-she 共轭映射
gong-e-yu 共轭域
gong-e-yuan 共轭元
gong-e-yuan-su 共轭元素
gong-e-yuan-su-lei 共轭元素类
gong-e-yuan-zhui-qu-xian 共轭圆锥曲线
gong-e-zhi-jing 共轭直径
gong-e-zhi-shu 共轭指数
gong-e-zhi-wen-qu-mian 共轭直纹曲面
gong-e-zhi-xian 共轭直线
gong-e-zhou 共轭轴
gong-e-zi-qun 共轭子群
gong-fen-mu 公分母
gong-gong-dian 公共点
gong-gong-yin-zi 公共因子
gong-he-ji 共合积
gong-ji 共基
gong-jiao 共焦
gong-jiao-er-ci-qu-mian 共焦二次曲面
gong-jiao-er-ci-qu-xian 共焦二次曲线
gong-jin 公斤
gong-kai-mi-yue 公开密钥
gong-li 公理
gong-li-fa 公理法
gong-li-fang-fa 公理方法
gong-li-ge-shi 公理格式
gong-li-hua 公理化
gong-li-hua-ji-he-lun 公理化集合论
gong-li-hua-li-lun 公理化理论
gong-li-ji-he-lun 公理集合论
gong-li-xi-tong 公理系统
gong-li-xue 公理学
gong-lv-mi-du-pu 功率密度谱
gong-lv-pu 功率谱
gong-lv-pu-mi-du 功率谱密度
gong-mian 共面
gong-mian-xian 共面线
gong-mian-xiang-liang 共面向量
gong-pu 共谱
gong-she 公设
gong-shi 公式
gong-shi-hua 公式化
gong-shi-yu-yan 公式语言
gong-wei-bao-ji-han-zi 共尾保积函子
gong-wei-ji 共尾集
gong-wei-xing 共尾性
gong-wei-zi-ji 共尾子集
gong-xian 共线
gong-xian-dian 共线点
gong-xian-xiang-liang 共线向量
gong-xian-xing 共线性
gong-xiao-han-shu 功效函数
gong-xin-xi 公信息
gong-xin-xi 共信息
gong-xing 弓形
gong-xing 拱形
gong-xing-bu-bian-liang 共形不变量
gong-xing-ji-he 共形几何
gong-xing-kong-jian 共形空间
gong-xing-ying-she 共形映射
gong-xing-ying-zhao 共形映照
gong-xuan-fang-an 供选方案
gong-yao-ti-zhi 公钥体制
gong-yin-shi 公因式
gong-yin-shu 公因数
gong-yin-zi 公因子
gong-yin-zi-fang-cha 公因子方差
gong-yin-zi-lun 公因子论
gong-you-chui-xian 公有垂线
gong-yu-bian-huan-fang-fa 共域变换方法
gong-yuan-dian 共圆点
gong-yue-shu 公约数
gong-zhen-tiao-jian 共振条件
gong-zhen-xian-xiang 共振现象
gong-zhou-yuan 共轴圆
gong-zu-chu-qi 工祖储器
gou-cheng 构成
gou-gu-ding-li 勾股定理
gou-xing 构形
gou-xing-kong-jian 构形空间
gou-zao-chang-shu 构造常数
gou-zao-lun-zhe 构造论者
gou-zao-xing 构造性
gou-zao-xing-ding-yi 构造性定义
gou-zao-xu-shu 构造序数
gu-bo 孤波
gu-de-man-hang-lie-shi 古得曼行列式
gu-dian 孤点
gu-dian-gai-lv 古典概率
gu-ding 固定
gu-ding-bian-liang 固定变量
gu-ding-mo 固定模
gu-ding-mo-xing 固定模型
gu-ding-qi-dian 固定奇点
gu-ding-xiang-liang 固定向量
gu-ding-yang-ben 固定样本
gu-ding-zhong-dian-bian-fen-wen-ti 固定终点变分问题
gu-er-ding-fa-ze 古尔丁法则
gu-ji 估计
gu-ji-fa 估计法
gu-ji-he-xue 古几何学
gu-ji-liang 估计量
gu-ji-lun 估计论
gu-ji-qi 估计器
gu-ji-qu-yu 估计区域
gu-ji-wu-cha 估计误差
gu-ji-zhi 估计值
gu-jia 骨架
gu-li-qi-dian 孤立奇点
gu-li-su-li-xiang 孤立素理想
gu-li-xi-tong 孤立系统
gu-li-xiang-dian 孤立项点
gu-li-yuan-su 孤立元素
gu-li-zi 孤立子
gu-li-zi-qun 孤立子群
gu-li-zi-xi-tong 孤立子系统
gu-ti 固体
gu-you-bian-qu-dian 固有变曲点
gu-you-dian 固有点
gu-you-dui-ou-li-xiang 固有对偶理想
gu-you-pin-lv 固有频率
gu-you-tu-ti 固有凸体
gu-you-wu-cha 固有误差
gu-you-yun-dong 固有运动
gu-you-zhen-dang 固有振荡
gu-zhang-lv 故障率
gu-zhang-pin-du 故障频度
gua-xian 卦限
guai-dian 拐点
guai-jian-jin-xian 拐渐近线
guai-jie-dian 拐结点
guai-qie-xian 拐切线
guai-qiu-mian 怪球面
guai-yin-zi 怪引子
guai-zhe 拐折
guan-ce 观测
guan-ce-han-shu 观测函数
guan-ce-qi 观测器
guan-ce-wu-cha 观测误差
guan-ce-zhi 观测值
guan-dao 管道
guan-dao-qu-mian 管道曲面
guan-jian-lu 关键路
guan-jian-lu-fang-fa 关键路方法
guan-jian-zhen 关键帧
guan-lian 关联
guan-lian-gong-li 关联公理
guan-lian-gong-shi 关联公式
guan-lian-guan-xi 关联关系
guan-lian-ju-zhen 关联矩阵
guan-lian-shu 关联数
guan-lian-xi-tong 关联系统
guan-lian-yu-gu-fa 关联预估法
guan-xi 关系
guan-xi-fu-hao 关系符号
guan-xi-luo-ji 关系逻辑
guan-xing 惯性
guan-xing-ju 惯性矩
guan-xing-li 惯性力
guan-xing-lv 惯性律
guan-xing-qun 惯性群
guan-xing-tuo-qiu 惯性椭球
guan-xing-xi 惯性系
guan-xing-yu 惯性域
guan-xing-zhi-shu 惯性指数
guan-zhuang-lin-yu 管状邻域
guan-zhuang-niu-jie 管状纽结
guan-zhuang-qu-mian 管状曲面
guang-bo-xin-dao 广播信道
guang-hua-cu 光滑簇
guang-hua-du 光滑度
guang-hua-gai-xing 光滑概形
guang-hua-han-shu 光滑函数
guang-hua-hua 光滑化
guang-hua-hua-suan-zi 光滑化算子
guang-hua-liu-xing 光滑流形
guang-hua-she 光滑射
guang-hua-she-ying-ping-mian-qu-xian 光滑射影平面曲线
guang-hua-tai-she 光滑态射
guang-hua-ying-she 光滑映射
guang-ling-yuan 广零元
guang-qun 广群
guang-yi 广义
guang-yi-bei-ye-si-gu-ji 广义贝叶斯估计
guang-yi-ben-zheng-kong-jian 广义本征空间
guang-yi-ben-zheng-zhi 广义本征值
guang-yi-bo-er-zha-wen-ti 广义博尔扎问题
guang-yi-bo-nu-li-tui-yi 广义伯努利推移
guang-yi-bo-song-guo-cheng 广义泊松过程
guang-yi-bu-er-dai-shu 广义布尔代数
guang-yi-dai-zhou-qi-han-shu 广义殆周期函数
guang-yi-dao-shu 广义导数
guang-yi-deng-zhou-wen-ti 广义等周问题
guang-yi-di-li-ke-lei-wen-ti 广义狄利克雷问题
guang-yi-dui-chen-qun 广义对称群
guang-yi-duo-bao-ti 广义多胞体
guang-yi-duo-xiang-shi-bi-jin 广义多项式逼近
guang-yi-duo-yuan-pan 广义多圆盘
guang-yi-fang-xiang-dao-shu 广义方向导数
guang-yi-fu-li-ye-ji-fen 广义傅里叶积分
guang-yi-fu-li-ye-ji-shu 广义傅里叶级数
guang-yi-fu-li-ye-zhan-kai 广义傅里叶展开
guang-yi-fu-zhi 广义赋值
guang-yi-ge-lin-gong-shi 广义格林公式
guang-yi-ge-lin-han-shu 广义格林函数
guang-yi-guo-cheng 广义过程
guang-yi-han-shu 广义函数
guang-yi-han-shu-ju-bu-hua 广义函数局部化
guang-yi-han-shu-juan-ji 广义函数卷积
guang-yi-han-shu-kong-jian 广义函数空间
guang-yi-han-shu-zhi-ji 广义函数支集
guang-yi-han-shu-zhi-ji 广义函数直积
guang-yi-huan-wei-zi 广义换位子
guang-yi-ji-he-gui-hua 广义几何规划
guang-yi-ji-xian 广义极限
guang-yi-ji-yue-ti-du-fa 广义既约梯度法
guang-yi-jie 广义解
guang-yi-jie-xi-han-shu 广义解析函数
guang-yi-ju-bu-ji-zhi 广义局部极值
guang-yi-ju-li 广义距离
guang-yi-ju-zhen-pa-de-bi-jin 广义矩阵帕德逼近
guang-yi-juan-ji 广义卷积
guang-yi-jun-zhi-ding-li 广义均值定理
guang-yi-la-gai-er-duo-xiang-shi 广义拉盖尔多项式
guang-yi-la-ge-lang-ri-cheng-zi 广义拉格朗日乘子
guang-yi-la-mei-fang-cheng 广义拉梅方程
guang-yi-li-man-jia-she 广义黎曼假设
guang-yi-li-xiang 广义理想
guang-yi-li-xiang-lei-qun 广义理想类群
guang-yi-lian-xu-tong-jia-she 广义连续统假设
guang-yi-ma-di-e-han-shu 广义马蒂厄函数
guang-yi-mi-ji-shu-jie 广义幂级数解
guang-yi-mi-ling-yuan 广义幂零元
guang-yi-ni-ju-zhen 广义逆矩阵
guang-yi-ni-zhen 广义拟阵
guang-yi-pa-de-bi-jin 广义帕德逼近
guang-yi-ping-jun 广义平均
guang-yi-san-jiao-duo-xiang-shi 广义三角多项式
guang-yi-san-jiao-ji-shu 广义三角级数
guang-yi-shi-le-mi-xi-ji-shu 广义施勒米希级数
guang-yi-si-yuan-shu-huan 广义四元数环
guang-yi-si-yuan-shu-qun 广义四元数群
guang-yi-te-zhao-jian 广义特照间
guang-yi-ti-du 广义梯度
guang-yi-tu-gui-hua 广义凸规划
guang-yi-wang-luo 广义网络
guang-yi-wei-ci-yan-suan 广义谓词演算
guang-yi-xian-xing-mo-xing 广义线性模型
guang-yi-xian-xing-xi-tong 广义线性系统
guang-yi-xian-yan-fen-bu 广义先验分布
guang-yi-xiang-dui-xing-yuan-li 广义相对性原理
guang-yi-xin-xi 广义信息
guang-yi-ya-ke-bi-ju-zhen 广义雅可比矩阵
guang-yi-you-li-bi-jin 广义有理逼近
guang-yi-you-qun 广义酉群
guang-yi-yue-hua-ti-du-fa 广义约化梯度法
guang-yi-zhi-ling 广义指令
guang-yi-zuo-biao 广义坐标
guang-zi-xin-dao 光子信道
gui-bi-dui-ce 规避对策
gui-dao 轨道
gui-dao-fen-jie-gong-shi 轨道分解公式
gui-dao-ji-suan 轨道计算
gui-dao-kong-jian 轨道空间
gui-dao-qu-xian 轨道曲线
gui-dao-wen-ding-xing 轨道稳定性
gui-fan-hua-han-shu 规范化函数
gui-fan-mian 规范面
gui-fan-qun 规范群
gui-fan-zheng-jiao-han-shu-xi 规范正交函数系
gui-fan-zheng-jiao-ji 规范正交基
gui-fan-zheng-jiao-xi 规范正交系
gui-hua 规划
gui-ji 轨迹
gui-na 归纳
gui-na-bian-liang 归纳变量
gui-na-bu-zhou 归纳步骤
gui-na-ding-yi 归纳定义
gui-na-fa 归纳法
gui-na-gui-ze 归纳规则
gui-na-ji-xian 归纳极限
gui-na-jia-she 归纳假设
gui-na-luo-ji 归纳逻辑
gui-na-wei-shu 归纳维数
gui-na-xi 归纳系
gui-na-xian 归纳限
gui-na-xu-ji 归纳序集
gui-na-you-xu-ji 归纳有序集
gui-na-zheng-ming 归纳证明
gui-yue 归约
gui-yue-gong-shi 归约公式
gui-ze 规则
gun-xian 滚线
guo-cheng 过程
guo-cheng-kong-zhi 过程控制
guo-du-shi-jian 过渡时间
guo-du-shou-lian 过度收敛
guo-du-tiao-jian 过渡条件
guo-du-yun-dong 过渡运动
guo-fen-han-shu 过分函数
guo-fen-shi-bie 过分识别
guo-ji-shu-xue-lian-he-hui 国际数学联合会
guo-ji-tong-ji-xue-hui 国际统计学会
guo-lv 过滤
guo-lv-qun 过滤群
guo-sheng-bi-jin 过剩逼近
guo-sheng-jin-si-zhi 过剩近似值
guo-sheng-shu 过剩数
guo-shi-wu-cha 过失误差
ha-dai 哈代
ha-dai-kong-jian 哈代空间
ha-dai-li-te-er-wu-de-ji-da-han-shu 哈代李特尔伍德极大函数
ha-er-ce-du 哈尔测度
ha-er-tiao-jian 哈尔条件
ha-mi-dun 哈密顿
ha-mi-dun-dian-fan-fang-cheng 哈密顿典范方程
ha-mi-dun-fang-cheng 哈密顿方程
ha-mi-dun-gong-shi 哈密顿公式
ha-mi-dun-han-shu 哈密顿函数
ha-mi-dun-quan 哈密顿圈
ha-mi-dun-qun 哈密顿群
ha-mi-dun-suan-fu 哈密顿算符
ha-mi-dun-suan-zi 哈密顿算子
ha-mi-dun-te-zhai-shu 哈密顿特寨数
ha-mi-dun-tu 哈密顿图
ha-mi-dun-wei-fen-xi-tong 哈密顿微分系统
ha-mi-dun-ya-ke-bi-fang-cheng 哈密顿雅可比方程
ha-mi-dun-ya-ke-bi-li-lun 哈密顿雅可比理论
ha-mi-dun-yuan-li 哈密顿原理
ha-mo-er-ji 哈默尔基
ha-mo-si-tan-ji-fen-fang-cheng 哈默斯坦积分方程
ha-mo-si-tan-suan-zi 哈默斯坦算子
ha-na-ke-bu-deng-shi 哈纳克不等式
ha-sai 哈塞
ha-sai-bu-bian-liang 哈塞不变量
ha-sai-tu 哈塞图
hai-lun-gong-shi 海伦公式
hai-man-fa 海曼法
hai-sai-ju-zhen 海赛矩阵
hai-sai-qun 海赛群
hai-sai-xing-shi 海赛形式
hai-sai-zheng-gui-xing-shi 海赛正规形式
hai-sen-bo-ge-qun 海森伯格群
hai-sen-bo-ju-zhen 海森伯矩阵
hai-ting-dai-shu 海廷代数
han-ke-er-bian-huan 汉克尔变换
han-ke-er-jian-jin-zhan-kai 汉克尔渐近展开
han-ke-er-suan-zi 汉克尔算子
han-liang 含量
han-ming-jie 汉明界
han-ming-ju-li 汉明距离
han-ming-ma 汉明码
han-shi-xue-ding-e-fang-cheng 含时薛定谔方程
han-shu 函数
han-shu-bi-jin-lun 函数逼近论
han-shu-bian-shu 函数变数
han-shu-biao-shi 函数表示
han-shu-chang-shu 函数常数
han-shu-chi 函数尺
han-shu-dai-shu 函数代数
han-shu-die-dai-fa 函数迭代法
han-shu-fang-cheng 函数方程
han-shu-fang-cheng-fa 函数方程法
han-shu-fu-hao 函数符号
han-shu-gou-zao-lun 函数构造论
han-shu-guan-xi 函数关系
han-shu-hang-lie-shi 函数行列式
han-shu-ji-shu 函数级数
han-shu-ju-zhen 函数矩阵
han-shu-kong-jian 函数空间
han-shu-lun 函数论
han-shu-ping-yi 函数平移
han-shu-shi 函数式
han-shu-wan-bei-xi 函数完备系
han-shu-wu-guan 函数无关
han-shu-xiang-guan 函数相关
han-shu-xiang-ji-shu 函数项级数
han-shu-xu-lie 函数序列
han-shu-yu 函数域
han-shu-yuan-su 函数元素
han-shu-zhi 函数值
han-shu-zhi-ji-suan 函数值计算
han-shu-zu 函数族
han-shu-zui-da 函数最大
han-xiang-yan-suan 函项演算
han-zi 函子
han-zi-fan-chou 函子范畴
hang-ban-wen-ti 航班问题
hang-ju-li 行距离
hang-lie-shi 行列式
hang-lie-shi-fang-cheng 行列式方程
hang-lie-shi-yin-zi 行列式因子
hang-lie-shi-ying-she 行列式映射
hang-lie-shi-zhan-kai-shi 行列式展开式
hang-zhi 行秩
hao-mi 毫米
hao-san-bu-fen 耗散部分
hao-san-suan-zi 耗散算子
hao-san-tai 耗散态
hao-san-wei-fen-fang-cheng 耗散微分方程
hao-san-xi 耗散系
hao-si-dao-fu-ce-du 豪斯道夫测度
hao-si-dao-fu-du-liang 豪斯道夫度量
hao-si-dao-fu-qun 豪斯道夫群
hao-si-duo-fu-ce-du 豪斯多夫测度
hao-si-duo-fu-gong-shi 豪斯多夫公式
hao-si-duo-fu-wei-shu 豪斯多夫维数
hao-si-huo-er-de-bian-huan 豪斯霍尔德变换
hao-si-huo-er-de-fa 豪斯霍尔德法
hao-si-huo-er-de-ju-zhen 豪斯霍尔德矩阵
hao-yue-hua 好约化
he-bi 合比
he-bing-wu-cha 合并误差
he-cha-hua-ji 和差化积
he-cheng 合成
he-cheng-chu-shu 合成除数
he-cheng-dai-shu 合成代数
he-cheng-gai-lv 合成概率
he-cheng-han-shu 合成函数
he-cheng-han-zi 合成函子
he-cheng-lie 合成列
he-cheng-lv 合成律
he-cheng-qun 合成群
he-cheng-shu 合成数
he-cheng-suan-zi 合成算子
he-cheng-tong-tai 合成同态
he-cheng-yin-zi 合成因子
he-cheng-yin-zi-lie 合成因子列
he-chong 合冲
he-chong-lian 合冲链
he-chong-san-ci-qu-xian 合冲三次曲线
he-er-de-bu-deng-shi 赫尔德不等式
he-er-de-qiu-he-fa 赫尔德求和法
he-er-de-tiao-jian 赫尔德条件
he-er-wei-ci-gong-shi 赫尔维茨公式
he-ge-fen-lie 赫戈分裂
he-ge-nei-er-dian 赫格内尔点
he-guang-yi-han-shu 核广义函数
he-han-shu 核函数
he-hen 合痕
he-hen-bu-bian-shi 合痕不变式
he-hen-guang-qun 合痕广群
he-hen-lei 合痕类
he-hen-ni-yu 合痕拟域
he-hen-niu-jie 合痕纽结
he-hen-qian-ru 合痕嵌入
he-hen-tu-xing 合痕图形
he-hen-xing 合痕型
he-jiao-yan 和校验
he-ke-huan 赫克环
he-ke-suan-zi 赫克算子
he-kong-jian 核空间
he-le-qun 和乐群
he-li 合力
he-lian-ji-he-ji-shu 合连几何级数
he-liao-han-shu 合镣函数
he-liu-cha 合六差
he-mi-dun-dao-lu 合密顿道路
he-qu 合取
he-qu-fan-shi 合取范式
he-qu-xiang 合取项
he-shi-gong-shi 合式公式
he-shu 合数
he-suan-zi 核算子
he-tong-bian-huan 合同变换
he-tong-biao-zhun-xing 合同标准型
he-tong-ying-she 合同映射
he-wei-sai-de-han-shu 赫维赛德函数
he-xi 合系
he-xiang-liang 和向量
he-xie-xing 和谐性
he-xin 核心
he-xing-gu-ji 核型估计
he-xing-kong-jian 核型空间
he-xing-suan-zi 核型算子
he-zhi-shu 和指数
he-zi-ce 合自策
he-zi-kong-jian 和子空间
he-zuo-dui-ce 合作对策
hei-ke-suan-zi 黑克算子
hei-ke-te-zhen 黑克特贞
hei-sai-hang-lie-shi 黑塞行列式
hei-sai-ju-zhen 黑塞矩阵
heng-deng-bian-huan 恒等变换
heng-deng-biao-shi 恒等表示
heng-deng-dai-huan 恒等代换
heng-deng-ding-li 恒等定理
heng-deng-guan-xi-shi 恒等关系式
heng-deng-han-shu 恒等函数
heng-deng-pai-lie 恒等排列
heng-deng-shi 恒等式
heng-deng-suan-zi 恒等算子
heng-deng-tu 恒等图
heng-deng-ying-she 恒等映射
heng-deng-zi-tong-gou 恒等自同构
heng-duan-xian-lun 横断线论
heng-jie 横截
heng-jie-ju-zhen-pei 横截矩阵胚
heng-jie-mian 横截面
heng-jie-qu-mian 横截曲面
heng-jie-qu-xian 横截曲线
heng-jie-she-ji 横截设计
heng-jie-tiao-jian 横截条件
heng-jie-xi 横截系
heng-jie-xiang-jiao 横截相交
heng-jie-xing 横截性
heng-jie-zhou 横截轴
heng-liang 衡量
heng-qie-xian 横切线
heng-shi-xin-dao 恒时信道
heng-te-guo-cheng 亨特过程
heng-te-he 亨特核
heng-tong-ying-she 恒同映射
heng-xiao-fa 衡消法
heng-ze-er-fu-zhi 亨泽尔赋值
heng-ze-er-fu-zhi-yu 亨泽尔赋值域
heng-ze-er-huan 亨泽尔环
heng-zi-kong-jian 横子空间
heng-zuo-biao 横坐标
heng-zuo-biao-zhou 横坐标轴
hong-guan-can-shu 宏观参数
hong-hei-hua-fen 红黑划分
hou-cheng 后承
hou-du 厚度
hou-ji 后继
hou-ji-han-shu 后继函数
hou-jian 后件
hou-xiang 后项
hou-xiang-cha-fen 后向差分
hou-xiang-cha-fen-suan-zi 后向差分算子
hou-xiang-cha-shang 后向差商
hou-xiang-jie-fa 后向解法
hou-xiang-sou-suo 后向搜索
hou-xiao-zhuo 后效酌
hou-xu-zhuang-tai 后续状态
hou-yan-fen-bu 后验分布
hou-yan-feng-xian 后验风险
hou-yan-gai-lv 后验概率
hu-bu-ji-he-gui-hua 互补几何规划
hu-bu-song-chi-ding-li 互补松弛定理
hu-bu-tu-gui-hua 互补凸规划
hu-bu-xiang-jiao-shi-jian 互不相交事件
hu-bu-xiang-jiao-zi-ji 互不相交子集
hu-bu-xing-wen-ti 互补性问题
hu-bu-yuan-li 互补原理
hu-chang 弧长
hu-chi-shi-jian 互斥事件
hu-chi-xi-qu 互斥析取
hu-chuan-di-tu 弧传递图
hu-du 弧度
hu-fan-ding-li 互反定理
hu-fan-fang-cheng 互反方程
hu-fan-guan-xi 互反关系
hu-fan-han-shu 互反函数
hu-fan-lv 互反律
hu-fen-liang 弧分量
hu-fou-ming-ti 互否命题
hu-ji 弧集
hu-lian-tong 弧连通
hu-lian-tong-ji 弧连通集
hu-lian-tong-kong-jian 弧连通空间
hu-lian-tong-xing 弧连通性
hu-lie-wei-ci-tong-gou-ding-li 胡列维茨同构定理
hu-ni-ding-li 互逆定理
hu-ni-ming-ti 互逆命题
hu-pu 互谱
hu-qie-dian 互切点
hu-rao-xin-dao 互扰信道
hu-shang 互熵
hu-su 互素
hu-su-duo-xiang-shi 互素多项式
hu-su-han-shu 互素函数
hu-su-shu 互素数
hu-su-yuan 互素元
hu-wei-bu-jiao 互为补角
hu-wei-lin-bu-jiao 互为邻补角
hu-wei-yu-jiao 互为余角
hu-xian-sou-suo-fa 弧线搜索法
hu-xiang-du-li-shi-jian 互相独立事件
hu-xiang-fu-chuan-yang-ben 互相负穿样本
hu-xiang-guan 互相关
hu-xiang-guan-han-shu 互相关函数
hu-xiang-guan-xi-shu 互相关系数
hu-xie-fang-cha-han-shu 互协方差函数
hu-xin-xi 互信息
hu-xu-lie 弧序列
hua-dong-ping-jun-mo-xing 滑动平均模型
hua-fa-ji-he 画法几何
hua-fen 划分
hua-fen-jie-xian 划分界线
hua-fen-shu 划分数
hua-fen-wen-ti 划分问题
hua-gui-ding-li 化归定理
hua-lin-wen-ti 华林问题
hua-yuan-wei-fang 化圆为方
huai-te-hei-de-ji 怀特黑德积
huai-te-hei-de-qun 怀特黑德群
huai-yue-hua 坏约化
huan-bing 环柄
huan-bing-ti 环柄体
huan-ceng 环层
huan-chong-qi 缓冲器
huan-chong-qu 缓冲区
huan-dao-zi-you-tu 环道自由图
