;; -*- coding: utf-8 -*--
a-di-ma 阿蒂玛
hou-zhi-dong-bi 后制动臂
hou-zhi-dong-bi-huang 后制动臂簧
hou-zhi-dong-di-ban 后制动底板
hou-zhi-dong-gu 后制动毂
hou-zhi-dong-pian 后制动片
hou-zhi-dong-ti 后制动蹄
hou-zhi-dong-tu-lun 后制动凸轮
hou-zhi-fa-dong-ji 后置发动机
hou-zhi-yin-qing 后置引擎
hou-zhou 后轴
hou-zhou-ce-hua 后轴侧滑
hou-zuo-zhuan-xiang-deng 后左转向灯
hu-feng-zhao 护风罩
hu-suo-cha 互锁叉
hua-chen-bao-ma 华晨宝马
hua-chen-kong-gu 华晨控股
hua-fa-xiang 滑阀箱
hua-guan 花冠
hua-jian-dang-pian 花键挡片
hua-jian-run-hua-zhi 花键润滑脂
hua-jian-tiao-zheng-pian 花键调整片
hua-pu 华普
hua-tai-ji-tuan 华泰集团
hua-xia-qi-che-wang 华夏汽车网
hua-yang-qi-che 华阳汽车
hua-you-qi 化油器
huan-chong-dang-kuai 缓冲挡块
huan-dang 换挡
huan-dang-bo-cha 换挡拨叉
huan-dang-cao-zong-ji-gou 换挡操纵机构
huan-dang-cha-zhou-gai 换挡叉轴盖
huan-dang-dian-ci-fa 换挡电磁阀
huan-dang-gan 换挡杆
huan-dang-gan-ding-wei-huang 换档杆定位簧
huan-dang-gan-fang-chen-tao 换挡杆防尘套
huan-dang-gan-fang-chen-tao 换档杆防尘套
huan-dang-gan-hui-wei-huang 换档杆回位簧
huan-dang-gan-zong-cheng 换档杆总成
huan-dang-he 换档盒
huan-dang-hua-tao 换挡滑套
huan-dang-ji-gou 换挡机构
huan-dang-la-gan 换挡拉杆
huan-dang-la-gan-zuo 换档拉杆座
huan-dang-shou-qiu 换挡手球
huan-dang-suo-zhi-dian-ci-fa 换挡锁止电磁阀
huan-dang-tou 换档头
huan-dang-yao-bi-zong-cheng 换档摇臂总成
huan-dang-zhou 换挡轴
huan-dang-zhou-bi 换档轴臂
huan-fa-dong-ji-zhong-duan 换发动机中段
huan-huo-sai 换活塞
huan-huo-sai-huan 换活塞环
huan-huo-sai-xiao-tao 换活塞销套
huan-lian-gan-zhou-wa 换连杆轴瓦
huan-qi-gang-chuang 换气缸床
huan-qi-gang-gai-xin 换气缸盖新
huan-qi-men-dao-guan 换气门导管
huan-qi-men-tan-huang-you-feng 换气门弹簧油封
huan-qi-men-yao-bi-zhou 换气门摇臂轴
huan-qi-men-zuo-quan 换气门座圈
huan-qu-zhou 换曲轴
huan-qu-zhou-hou-you-feng 换曲轴后油封
huan-qu-zhou-zhou-wa 换曲轴轴瓦
huan-su-qi-zhi-shi-deng 缓速器指示灯
huan-tu-lun-zhou 换凸轮轴
huan-you-she-bei 换油设备
huang-guan-rui-zhi 皇冠锐志
huang-hai-zong-fa 黄海总阀
huang-he-wang-zi 黄河王子
hui-liu-guan 回流管
hui-teng 辉腾
hui-wei-huang-xian-wei-xiao 回位簧限位销
hui-wei-tan-huang-zong-cheng 回位弹簧总成
hui-you-guan 回油管
hui-zhong 汇众
hun-he-dong-li-qi-che 混合动力汽车
huo-che 货车
huo-de-luo 霍德罗
huo-hua-sai 火花塞
huo-men-la-suo 活门拉索
huo-sai-huan 活塞环
huo-sai-si-pei-tao 活塞四配套
huo-sai-xiao 活塞肖
huo-sai-xiao 活塞销
huo-sai-xiao-dang-quan 活塞销挡圈
huo-sai-xiao-ka-huang 活塞销卡簧
huo-xing-tan-guan 活性炭罐
huo-xing-tan-guan-dian-ci-fa 活性炭罐电磁阀
ji-ao 吉奥
ji-dian-qi-jia 继电器架
ji-guang-cui-huo-she-bei 激光淬火设备
ji-li-ji-tuan 吉利集团
ji-li-mei-ri 吉利美日
ji-li-xiong-mao 吉利熊猫
ji-mu-xi 吉姆希
ji-nan-ye-ya-beng 济南液压泵
ji-pu 吉普
ji-xie-bian-su-xiang 机械变速箱
ji-you-bang-pu 机油帮浦
ji-you-bao-jing-qi 机油报警器
ji-you-beng 机油泵
ji-you-beng-chuan-dong-lun 机油泵传动轮
ji-you-beng-duo-lun 机油泵惰轮
ji-you-beng-duo-lun-zhou 机油泵惰轮轴
ji-you-beng-lian-jie-pan 机油泵联接盘
ji-you-beng-lian-lun 机油泵链轮
ji-you-beng-lian-tiao 机油泵链条
ji-you-beng-lian-tiao-zhang-jin-qi 机油泵链条涨紧器
ji-you-beng-shu-you-guan-zu 机油泵输油管组
ji-you-beng-zong-cheng 机油泵总成
ji-you-biao 机油表
ji-you-chi 机油尺
ji-you-chi-cha-guan 机油尺插管
ji-you-chi-dao-guan 机油尺导管
ji-you-chuan-gan-qi 机油传感器
ji-you-cu-lv-qi 机油粗滤器
ji-you-cu-lv-wang 机油粗滤网
ji-you-cu-lv-xin 机油粗滤芯
ji-you-ji-lv-qi 机油集滤器
ji-you-ji-lv-wang 机油集滤网
ji-you-jia-zhu-kou-gai 机油加注口盖
ji-you-leng-que-qi 机油冷却器
ji-you-leng-que-qi-gai 机油冷却器盖
ji-you-leng-que-qi-xin 机油冷却器芯
ji-you-lv-qing-qi 机油滤清器
ji-you-lv-qing-qi-zhi-jia 机油滤清器支架
ji-you-lv-wang 机油滤网
ji-you-lv-xin 机油滤芯
ji-you-pen-zui 机油喷嘴
ji-you-pen-zui-zu-he-jian 机油喷嘴组合件
ji-you-xi-lv-qi 机油细滤器
ji-you-xi-lv-xin 机油细滤芯
ji-you-xi-pan 机油吸盘
ji-you-ya-li-chuan-gan-qi 机油压力传感器
ji-zhao-jiao-dun 机爪胶墩
ji-zhuan 激转
jia-chi-gu-ding-qi 夹持固定器
jia-hua 嘉华
jia-nian-hua 嘉年华
jia-shi 驾驶
jia-shi-ji-qiao 驾驶技巧
jia-shi-jing-yan 驾驶经验
jia-shi-shi 驾驶室
jia-shi-shi-jian-zhen-qi 驾驶室减震器
jia-shi-shi-kai-men-an-niu 驾驶室开门按钮
jia-shi-shi-suo-zhi-kai-guan 驾驶室锁止开关
jia-shi-zheng 驾驶证
jia-shui-kou-zong-cheng 加水口总成
jia-su-fang-hua-kong-zhi-qi 加速防滑控制器
jia-su-fang-hua-xi-tong 加速防滑系统
jia-su-qi-ta-ban-zong-cheng 加速器踏板总成
jia-you-fa 加油阀
jia-you-kou-gai 加油口盖
jia-you-kou-lou-dou 加油口漏斗
jia-you-sai 加油塞
jia-you-zhan 加油站
jia-yu 嘉誉
jian-ge-tao 间隔套
jian-su-qi-ke 减速器壳
jian-suo-ruan-guan 渐缩软管
jian-xie-yu-gua 间歇雨刮
jian-zhen-qi 减震器
jian-zhen-qi-fang-chen-tao 减震器防尘套
jian-zhen-qi-huan-chong-kuai 减震器缓冲块
jian-zhen-qi-tan-huang 减震器弹簧
jian-zhen-qi-xia-zhi-cheng-cha 减振器下支承叉
jiang-huai-qi-che 江淮汽车
jiang-huai-tong-yue 江淮同悦
jiang-ling 江铃
jiang-ling-fu-te 江铃福特
jiang-ling-ji-tuan 江铃集团
jiang-ling-qing-ka 江铃轻卡
jiao-che 轿车
jiao-chi 角齿
jiao-deng 脚瞪
jiao-deng 角灯
jiao-dian 脚垫
jiao-jing 交警
jiao-lian-hu-zhao 铰链护罩
jiao-ta-ban 脚踏板
jiao-ta-ji-gou-zhi-zuo 脚踏机构支座
jiao-tong-an-quan-chan-pin 交通安全产品
jiao-xing-ruan-guan 角型软管
jiao-yan-mo-qi-men 铰研磨气门
jie-bao 捷豹
jie-bao-xi-lie 捷豹系列
jie-da 捷达
jie-jin-jiao 接近角
jie-kou-dian 接口垫
jie-qi-fa 节气阀
jie-qi-men-dian 节气门垫
jie-qi-men-kong-zhi-dan-yuan 节气门控制单元
jie-shi-da 杰士达
jie-wen-qi 节温器
jie-wen-qi-gai 节温器盖
jie-wen-qi-qiao-ti 节温器壳体
jin-bei-tong-yong 金杯通用
jin-cheng 金程
jin-cheng-zhi-xing 金程之星
jin-cou-xing-zhi-jia 紧凑型支架
jin-guang-deng 近光灯
jin-guang-deng-pao 近光灯泡
jin-guang-kai-guan 近光开关
jin-ji-bao-jing-kai-guan 紧急报警开关
jin-kou-jiao-che 进口轿车
jin-lv-ke-che 金旅客车
jin-qi-dao 进气道
jin-qi-dao-huan-chong-jian 进气道缓冲件
jin-qi-dao-kou-zhao 进气道口罩
jin-qi-dao-mi-feng-dian 进气道密封垫
jin-qi-dao-zhuan-huan-fa 进气道转换阀
jin-qi-dao-zong-cheng 进气道总成
jin-qi-hu-tao 进气护套
jin-qi-men 进气门
jin-qi-men-yao-bi 进气门摇臂
jin-qi-men-zuo 进气门座
jin-qi-qi-guan-dian 进气歧管垫
jin-qi-ruan-guan 进气软管
jin-qi-tu-lun-zhou 进气凸轮轴
jin-qi-wen-du-chuan-gan-qi 进气温度传感器
jin-qi-xi-tong 进气系统
jin-qi-ya-li-chuan-gan-qi 进气压力传感器
jin-wang-zi 金王子
jin-you-guan 进油管
jing-cheng 景程
jing-cheng-hai-shi 京城海狮
jing-gao-ting-che-zhi-shi-deng 警告停车指示灯
jing-ling-ben-chi-ji-mu-xi 精灵奔驰吉姆希
jing-rui 晶锐
jing-tong-ke-che 京通客车
jing-xiang-zhou-mi-feng 径向轴密封
jing-zhen 颈枕
jiu-che 旧车
ju-sheng-beng 举升泵
ju-sheng-gang 举升缸
ju-sheng-ji-xi-lie 举升机系列
ju-sheng-ruan-guan 举升软管
jun-chi 骏驰
jun-jie 骏捷
jun-wei 君威
jun-yi 骏逸
jun-yue 君越
jun-yue-ji-min 君越机敏
ka-luo-la 卡罗拉
ka-tao-shi-luo-mu 卡套式螺母
kai-cao-luo-mu 开槽螺母
kai-di 开迪
kai-di-la-ke 凯迪拉克
kai-feng-qi-che-cheng 开封汽车城
kai-guan-zong-cheng 开关总成
kai-mei-rui 凯美瑞
kai-si-ma 凯斯玛
kai-yue 凯越
kang-fu-ji 抗腐剂
kang-mo-ji 抗磨剂
kao-wei-te 考维特
ke-lai-si-le 克莱斯勒
ke-lu-zi 科鲁兹
ke-ni-xi-sai-er 柯尼希塞尔
ke-sai 可赛
kong-lv-du-se-kai-guan 空滤堵塞开关
kong-lv-du-se-zhi-shi-deng 空滤堵塞指示灯
kong-lv-qi-jin-gu-dai 空滤器紧固带
kong-lv-xin 空滤芯
kong-qi-liu-liang-ji 空气流量计
kong-qi-lv 空气滤
kong-qi-lv-qing-qi 空气滤清器
kong-qi-lv-qing-qi-dao-guan 空气滤清器导管
kong-qi-lv-qing-qi-gai 空气滤清器盖
kong-qi-lv-qing-qi-zong-cheng 空气滤清器总成
kong-qi-lv-rui 空气滤蕊
kong-qi-lv-xin 空气滤芯
kong-qi-lv-xin-zong-cheng 空气滤芯总成
kong-qi-ruan-guan 空气软管
kong-qi-xuan-gua 空气悬挂
kong-qi-xuan-gua-zhi-shi-deng 空气悬挂指示灯
kong-qi-xuan-jia 空气悬架
kong-tiao-guan 空调管
kong-tiao-lv 空调滤
kong-tiao-lv-wang 空调滤网
kong-tiao-lv-xin 空调滤芯
kong-tiao-pi-dai 空调皮带
kong-tiao-pi-dai-zhang-jin-lun 空调皮带涨紧轮
kong-tiao-ruan-guan 空调软管
kong-tiao-xiang-guan-ling-jian 空调相关零件
kong-tiao-ya-li-kai-guan 空调压力开关
kong-tiao-ya-suo-ji 空调压缩机
kong-tiao-ya-suo-ji-pi-dai 空调压缩机皮带
kong-xin-luo-shuan 空心螺栓
kong-ya-ji-fa-ban 空压机阀板
kong-ya-ji-gang-gai 空压机缸盖
kong-ya-ji-gang-ti 空压机缸体
kong-ya-ji-huo-sai 空压机活塞
kong-ya-ji-jin-you-guan-zu 空压机进油管组
kong-ya-ji-lian-gan-wa 空压机连杆瓦
kong-ya-ji-qu-zhou 空压机曲轴
kong-ya-ji-zong-cheng 空压机总成
kou-jin-dai 扣紧带
ku-bo 酷搏
ku-lu-ze-ben-chi-ji 酷路泽奔驰级
kuai-fang-fa 快放阀
kuan-xin-che 款新车
kuang-yong-zi-xie-che 矿用自卸车
la-ba-an-niu-kai-guan 喇叭按钮开关
la-ba-kai-guan 喇叭开关
la-ba-shan-guang-qi 喇叭闪光器
la-ba-zhi-jia 喇叭支架
la-li-tan-huang 拉力弹簧
la-shui-jing-xi-che 蜡水精洗车
la-suo-zhi-jia 拉索支架
lan-bo-ji-ni 兰博基尼
lan-de-ku-lu-ze 兰德酷路泽
lan-niao 蓝鸟
lan-qi-ya 蓝旗亚
lan-qi-ya-xing 蓝旗亚型
lan-se-rui-zhi 蓝瑟锐志
lang-feng 朗风
lang-jie 朗杰
lang-yi 朗逸
lao-en-si 劳恩斯
lao-si-lai-si 劳斯莱斯
le-cheng 乐骋
le-chi 乐驰
lei-chi 雷驰
lei-ke-sa-si 雷克萨斯
lei-ke-sa-si-lei-zuo 雷克萨斯雷佐
lei-meng 镭蒙
lei-nuo 雷诺
leng-mei 冷媒
leng-ning-qi 冷凝器
leng-nuan-qi-tiao-jie-zhuang-zhi 冷暖气调节装置
leng-qi-dao-feng-guan 冷气导风管
leng-qi-pei-guan 冷气配管
leng-qi-ya-suo-ji 冷气压缩机
leng-qi-zong-cheng 冷气总成
leng-que-ji-tian-jia-ji 冷却剂添加剂
leng-que-ye 冷却液
li-cheng-biao 里程表
li-cheng-biao-chuan-gan-qi 里程表传感器
li-cheng-biao-ruan-zhou 里程表软轴
li-cheng-biao-wo-gan 里程表蜗杆
li-cheng-biao-zhi-jiao-jie-tou 里程表直角接头
li-fan 力帆
li-fan-ji-tuan 力帆集团
li-guan-zhao 立管罩
li-he-qi 离合器
li-he-qi-fen-beng 离合器分泵
li-he-qi-fen-li-bo-cha 离合器分离拨叉
li-he-qi-fen-li-cha 离合器分离叉
li-he-qi-fen-li-cha-bi 离合器分离叉臂
li-he-qi-fen-li-tao-tong 离合器分离套筒
li-he-qi-gang-pian 离合器钢片
li-he-qi-jia-you-ruan-guan 离合器加油软管
li-he-qi-kai-guan 离合器开关
li-he-qi-la-xian 离合器拉线
li-he-qi-mo-ca-pian 离合器摩擦片
li-he-qi-pian 离合器片
li-he-qi-ruan-guan 离合器软管
li-he-qi-ta-ban 离合器踏板
li-he-qi-ta-ban-huang 离合器踏板簧
li-he-qi-tiao-zheng-cha 离合器调正叉
li-he-qi-tiao-zheng-luo-mu 离合器调整螺母
li-he-qi-tiao-zheng-luo-si 离合器调整罗丝
li-he-qi-tiao-zheng-suo-pian 离合器调正锁片
li-he-qi-xiu-li-bao 离合器修理包
li-he-qi-ya-pan 离合器压盘
li-he-qi-ya-pan-huang 离合器压盘簧
li-he-qi-ya-pan-zong-cheng 离合器压盘总成
li-he-qi-zhong-jian-ban 离合器中间板
li-he-qi-zong-beng 离合器总泵
li-he-qi-zong-beng-zhi-jia 离合器总泵支架
li-liang 雳靓
li-pu-la 利普拉
li-qu-jiao 离去角
li-shi-heng-mo-ji 立式珩磨机
li-shi-jing-tang-chuang 立式精镗床
li-wei 骊威
li-ya-na 利亚纳
lian-dong-gan 联动杆
lian-gan-chen-tao 连杆衬套
lian-gan-jiao-zheng-qi 连杆校正器
lian-gan-luo-shuan 连杆螺栓
lian-gan-wa 连杆瓦
lian-gan-zhou-cheng-pian 连杆轴承片
lian-jie-gan 连接杆
lian-jie-jiao-guan 连接胶管
lian-jie-ruan-guan 连接软管
lian-ti-la-ba 联体喇叭
lian-tiao-tiao-jie-qi 链条调节器
lian-tiao-you-hu-ban 链条右护板
lian-tiao-zuo-hu-ban 链条左护板
liang-xiang-ban 两厢版
lie-bao-fei-teng 猎豹飞腾
ling-hang-zhe-feng-ya 领航者风雅
ling-li 菱利
ling-mu 铃木
ling-mu-hong 铃木红
ling-mu-ji-tuan 铃木集团
ling-mu-tai-zi 铃木太子
ling-qi 菱麒
ling-shen 菱绅
ling-shuai 菱帅
ling-xiang 领翔
ling-yue 菱悦
ling-zhi 凌志
liu-gang-qie 六缸切
liu-qi 柳汽
liu-xing-jiu-dai 流星九代
lu-ba 陆霸
lu-bao-jie-you 路宝节油
lu-di 路帝
lu-di-xun-yang-jian 陆地巡洋舰
lu-feng 陆风
lu-feng-qi-che 陆风汽车
lu-hu 路虎
lu-hu-lan-sheng 路虎揽胜
lu-ling 陆铃
lu-zun 路尊
lun-bian-ke 轮边壳
lun-bian-zong-cheng 轮边总成
lun-cha-fa 轮差阀
lun-gu 轮毂
lun-gu-gai 轮毂盖
lun-gu-luo-shuan 轮毂螺栓
lun-gu-zhao 轮毂罩
lun-jian 轮间
lun-jian-cha-su-qu-dong-qi 轮间差速驱动器
lun-ju 轮距
lun-mei 轮眉
lun-su-chuan-gan-qi 轮速传感器
lun-tai 轮胎
lun-tai-da-qi-beng 轮胎打气泵
lun-tai-luo-mu 轮胎螺母
lun-tai-luo-mu-chai-zhuang-ji 轮胎螺母拆装机
lun-tai-luo-shuan 轮胎螺栓
lun-tai-luo-si 轮胎螺丝
lun-tai-tai-mian 轮胎胎面
lun-tai-tao-tong 轮胎套筒
lun-zhao-chen-ke 轮罩衬壳
lun-zhao-jia-qiang-ban 轮罩加强板
luo-fu 罗孚
luo-mi-ou 罗米欧
lv-qing-qi 滤清器
lv-qing-qi-zong-cheng 滤清器总成
lv-san-re-qi 铝散热器
lv-se-xin-xing 绿色新星
lv-wang-duan-gai 滤网端盖
lv-xing-jia-li-shi 旅行家力狮
ma-di-zi 马蒂兹
ma-li-ang 马力昂
ma-sha-la-di 玛莎拉蒂
ma-zi-da 马自达
mai-ba-he 迈巴赫
mai-che 卖车
mai-chong-chuan-gan-qi 脉冲传感器
mai-chong-fa-sheng-lun 脉冲发生轮
mai-teng 迈腾
man-zai 满载
mei-ge-na-si-te-ye 梅格纳斯特耶
mei-gui 美规
mei-lu 美鹿
mei-sai-de-si-ben-chi 梅赛德斯奔驰
mei-ya 美亚
mei-yi-bao 美宜堡
men-suo-kong-zhi-dan-yuan 门锁控制单元
men-ti-niu 门提钮
meng-di-ou 蒙迪欧
meng-di-ou-zhi-sheng 蒙迪欧致胜
meng-jiang-lv 猛将旅
meng-pai-ke 蒙派克
mi-feng-fa-lan 密封法兰
mi-feng-huan 密封环
mi-feng-ruan-sheng 密封软绳
mian-ban-zhuang-shi-jian 面板装饰件
ming-jue 名爵
ming-jue-feng-xing 名爵风行
ming-jue-xi 名爵系
ming-rui 明锐
ming-shi 名使
mo-na-luo 摩纳罗
mo-pian-shi-zhi-dong-qi-shi 膜片式制动气室
mo-tuo-che 摩托车
mo-tuo-che-fang-shai-dian 摩托车防晒垫
mo-tuo-che-pei-jian 摩托车配件
nai-re-luo-si-mi-feng-jiao 耐热螺丝密封胶
nan-jing-fei-ya-te 南京菲亚特
nan-jing-ming-jue 南京名爵
nan-jing-yue-jin 南京跃进
nan-qi 南汽
nan-qi-ji-tuan 南汽集团
nei-bai-shi-zi-dong-men-zhuang-zhi 内摆式自动门装置
nei-ce-wei-ban 内侧围板
nei-chi-quan-zhi-jia 内齿圈支架
nei-dang-feng 内挡风
nei-dang-feng-gai 内挡风盖
nei-duo-chi-tou 内多齿头
nei-gang 内杠
nei-li-he-qi 内离合器
nei-qiu-long 内球笼
nei-qiu-long-fang-chen-tao 内球笼防尘套
nei-shi-jing 内室镜
nei-shi-qing-xi-fan-xin 内室清洗翻新
nei-shi-she-ji 内饰设计
nei-yuan-hua-leng-luo-shuan 内圆滑棱螺栓
ni-sang 尼桑
niu-ju-ban-shou 扭矩扳手
nuan-feng-jiao-guan 暖风胶管
nuan-feng-kai-guan 暖风开关
nuan-qi-zong-cheng 暖气总成
ou-bao 欧宝
ou-di-ma 欧迪玛
ou-ge-ao-di 讴歌奥迪
ou-jie-li 欧捷利
ou-lan-de 欧蓝德
ou-mei-jia-ao-jun 欧美佳傲骏
pa-jie-luo 帕杰罗
pa-ke-wo-de 帕克沃德
pa-la-ding 帕拉丁
pa-nuo-zi 帕诺兹
pa-sa-te 帕萨特
pa-sa-te-ling-yu 帕萨特领驭
pa-xing-dang-kai-guan 爬行档开关
pai-li-ao 派力奥
pai-li-ao-zhou-mo-feng 派力奥周末风
pai-qi-guan 排气管
pai-qi-guan-dai-tu-yuan 排气管带凸缘
pai-qi-guan-dian 排气管垫
pai-qi-guan-ge-re-ban 排气管隔热板
pai-qi-guan-gu-ding-jia 排气管固定架
pai-qi-guan-jie-kou-dian 排气管接口垫
pai-qi-guan-luo-si 排气管螺丝
pai-qi-guan-mi-feng-huan 排气管密封环
pai-qi-men 排气门
pai-qi-men-yao-bi 排气门摇臂
pai-qi-men-zuo 排气门座
pai-qi-qi-guan-dian 排气歧管垫
pai-qi-tu-lun-zhou 排气凸轮轴
pai-qi-wei-guan 排气尾管
pai-zhao 牌照
pai-zhao-ban 牌照板
pai-zhao-deng 牌照灯
pai-zhao-jia 牌照架
pang-di-ke 庞蒂克
pei-qi-xiang-wei-tiao-jie-qi 配气相位调节器
pei-qi-xiang-wei-tiao-jie-qi-dian 配气相位调节器垫
pen-shui-zui 喷水嘴
pen-you-beng-chuan-dong-lun 喷油泵传动轮
pen-you-beng-hui-you-guan-zu 喷油泵回油管组
pen-you-beng-jin-you-guan-zu 喷油泵进油管组
pen-you-beng-zhi-jia 喷油泵支架
pen-you-qi-gu-ding-luo-shuan 喷油器固定螺栓
pen-you-qi-luo-shuan 喷油器螺栓
pen-you-qi-zong-cheng 喷油器总成
pen-you-zui 喷油嘴
pen-you-zui-bao-hu-tao 喷油嘴保护套
pen-you-zui-tong-tao 喷油嘴铜套
pen-you-zui-xian-shu 喷油嘴线束
peng-tuo 鹏托
peng-zhang-shi-luo-mu 膨胀式螺母
peng-zhang-shui-xiang 膨胀水箱
peng-zhuang-chuan-gan-qi 碰撞传感器
pi-dai-zhang-jin-huan-chong-qi 皮带涨紧缓冲器
pi-dai-zhang-li-qi 皮带张力器
pi-ka 皮卡
pi-wan 皮碗
pian-shi-dian-huo-xi-tong 偏时点火系统
pin-pai-qi-che 品牌汽车
ping-cha-you-hu-ban 平叉右护板
ping-heng-bi 平衡臂
ping-heng-bi-jiao-tao 平衡臂胶套
ping-heng-gan 平衡杆
ping-heng-jia-zong-cheng 平衡夹总成
ping-heng-zhou 平衡轴
ping-heng-zhou-ke 平衡轴壳
ping-jun-ran-liao-xiao-hao-liang 平均燃料消耗量
pu-la-duo 普拉多
pu-la-duo-xue-tie-long 普拉多雪铁龙
pu-lei-ao 普雷奥
pu-li-ma 普利马
pu-li-ma 普力马
pu-lu-si-wei-rou-sa 普鲁斯威柔萨
pu-na-de 普纳德
pu-rui-wei-ya 普瑞维亚
qi-beng-huan 气泵环
qi-beng-lian-gan 气泵连杆
qi-beng-lian-jie-pian 气泵连接片
qi-beng-lian-jie-qi 气泵连接器
qi-che 汽车
qi-che-bao-hu-zhao 汽车保护罩
qi-che-bao-jia 汽车报价
qi-che-bao-xian 汽车保险
qi-che-bo-lan 汽车博览
qi-che-bo-li 汽车玻璃
qi-che-chang-jia 汽车厂家
qi-che-cheng 汽车城
qi-che-chuang-lian 汽车窗帘
qi-che-dao-hang 汽车导航
qi-che-dao-hang-xi-tong 汽车导航系统
qi-che-di-pan-deng 汽车底盘灯
qi-che-dian-zi 汽车电子
qi-che-dian-zi-dian-qi 汽车电子电器
qi-che-ding-feng-yi 汽车定风翼
qi-che-ding-jia 汽车顶架
qi-che-ding-xiang 汽车顶箱
qi-che-fang-hua-xi-tong 汽车防滑系统
qi-che-fu-jian-chang 汽车附件厂
qi-che-fu-wu-ju-le-bu 汽车服务俱乐部
qi-che-gai-zhuang 汽车改装
qi-che-gong-fang 汽车功放
qi-che-hang-qing 汽车行情
qi-che-hang-ye-dong-tai 汽车行业动态
qi-che-hua-gong-yong-pin 汽车化工用品
qi-che-huan-chong-qi 汽车缓冲器
qi-che-jia-ge 汽车价格
qi-che-jian-ce-she-bei 汽车检测设备
qi-che-jing-pin 汽车精品
qi-che-ju-le-bu 汽车俱乐部
qi-che-la-ba 汽车喇叭
qi-che-ling-bu-jian 汽车零部件
qi-che-mao-yi 汽车贸易
qi-che-mao-yi-you-xian-gong-si 汽车贸易有限公司
qi-che-mei-rong 汽车美容
qi-che-mei-rong-zhuang-huang-hu-li-shang-hang 汽车美容装潢护理商行
qi-che-mo-xing 汽车模型
qi-che-nei-shi 汽车内饰
qi-che-pei-jian 汽车配件
qi-che-pei-xun 汽车培训
qi-che-ping-ce 汽车评测
qi-che-qi 汽车漆
qi-che-qi-pei-zhuan-ye-fu-wu 汽车汽配专业服务
qi-che-sheng-ju-ji 汽车升举机
qi-che-shi-pin-tao 汽车饰品套
qi-che-tie-mo 汽车贴膜
qi-che-tu-pian 汽车图片
qi-che-wei-xiu 汽车维修
qi-che-wei-yi 汽车尾翼
qi-che-xiang-shui 汽车香水
qi-che-xiao-sheng-qi 汽车消声器
qi-che-xiao-shou 汽车销售
qi-che-xiao-shou-fu-wu 汽车销售服务
qi-che-xin-pian 汽车芯片
qi-che-xin-wen 汽车新闻
qi-che-xiu-li-bu 汽车修理部
qi-che-xiu-li-chang 汽车修理厂
qi-che-yang-hu 汽车养护
qi-che-yao-kong 汽车遥控
qi-che-yao-kong-yao-shi 汽车遥控钥匙
qi-che-yao-shi 汽车钥匙
qi-che-yin-xiang 汽车音响
qi-che-yong-pin 汽车用品
qi-che-yong-pin-yu-fu-jian 汽车用品与附件
qi-che-zhi-shi 汽车知识
qi-che-zhuan-xiang-beng 汽车转向泵
qi-che-zhuang-shi 汽车装饰
qi-che-zhuang-shi-fu-wu-zhong-xin 汽车装饰服务中心
qi-che-zi-jian 汽车自检
qi-da 骐达
qi-dong-ji 启动机
qi-dong-ji-chi-lun 起动机齿轮
qi-dong-ji-tan-shua 起动机碳刷
qi-dong-ji-tong-tao 起动机铜套
qi-dong-kai-guan 起动开关
qi-gang 气缸
qi-gang 汽缸
qi-gang-chen-tao 汽缸衬套
qi-gang-dian 汽缸垫
qi-gang-gai 汽缸盖
qi-gang-gai-chu-shui-guan 气缸盖出水管
qi-gang-gai-luo-shuan 气缸盖螺栓
qi-gang-gai-zhao-gai 汽缸盖罩盖
qi-gang-gai-zhao-mi-feng-zu-jian 汽缸盖罩密封组件
qi-gang-pai-lie 气缸排列
qi-gang-tao-zu-shui-quan 气缸套阻水圈
qi-gang-tou-gai 汽缸头盖
qi-gang-ya-li-biao 气缸压力表
qi-huan 气环
qi-jian 旗舰
qi-jian-pi-ka 旗舰皮卡
qi-jian-san-dai 旗舰三代
qi-jun-kai-rui 奇骏开瑞
qi-ling 骐菱
qi-men 气门
qi-men 汽门
qi-men-dang-quan 气门挡圈
qi-men-dao-guan 气门导管
qi-men-dao-guan 汽门导管
qi-men-nei-tan-huang 气门内弹簧
qi-men-shang-tan-huang-zuo 气门上弹簧座
qi-men-shi-dian 气门室垫
qi-men-shi-zhao-gai 气门室罩盖
qi-men-suo 汽门锁
qi-men-suo-jia 气门锁夹
qi-men-suo-pian 气门锁片
qi-men-tan-huang 气门弹簧
qi-men-tan-huang 汽门弹簧
qi-men-tan-huang-zuo 气门弹簧座
qi-men-tiao-zheng-luo-si 气门调整螺丝
qi-men-ting-zhu 气门挺柱
qi-men-tui-gan 气门推杆
qi-men-wai-tan-huang 气门外弹簧
qi-men-xia-tan-huang-zuo 气门下弹簧座
qi-men-yao-bi 汽门摇臂
qi-men-yao-bi-gai 汽门摇臂盖
qi-men-yao-bi-zhi-zuo 气门摇臂支座
qi-men-yao-bi-zhong-zuo 气门摇臂中座
qi-men-yao-bi-zhou 气门摇臂轴
qi-men-yao-bi-zong-cheng 气门摇臂总成
qi-men-you-feng 气门油封
qi-men-zuo 汽门座
qi-mian-bao-hu-mo 漆面保护膜
qi-mian-hu-li-pin 漆面护理品
qi-mian-mei-rong-yang-hu 漆面美容养护
qi-mian-xiu-fu-zhuang-shi 漆面修复装饰
